date,name,category,value,lastValue
34,Salmonella,,7471,7180
34,Dengue,,2476,2402
34,Tetanus,,3413,3285
34,COVID-19,,426,362
35,Lower Respiratory,,240313,232900
35,Diarrhea,,158494,153469
35,Tuberculosis,,113244,110037
35,HIV/AIDS,,86041,83821
35,Malaria,,69814,68218
35,Typhoid,,14209,13617
35,Whooping cough,,13139,12749
35,Encephalitis(brain inflammation),,10040,9717
35,STI(not including HIV),,10835,10538
35,Measles,,10035,9603
35,Hepatitis,,7699,7492
35,Salmonella,,7652,7471
35,Dengue,,2590,2476
35,Tetanus,,3514,3413
35,COVID-19,,492,426
36,Lower Respiratory,,246830,240313
36,Diarrhea,,163683,158494
36,Tuberculosis,,116483,113244
36,HIV/AIDS,,88748,86041
36,Malaria,,70727,69814
36,Typhoid,,14754,14209
36,Whooping cough,,13503,13139
36,Encephalitis(brain inflammation),,10261,10040
36,STI(not including HIV),,11070,10835
36,Measles,,10259,10035
36,Hepatitis,,7910,7699
36,Salmonella,,7803,7652
36,Dengue,,2625,2590
36,Tetanus,,3601,3514
36,COVID-19,,564,492
37,Lower Respiratory,,253892,246830
37,Diarrhea,,167173,163683
37,Tuberculosis,,119775,116483
37,HIV/AIDS,,91309,88748
37,Malaria,,71902,70727
37,Typhoid,,15071,14754
37,Whooping cough,,14084,13503
37,Encephalitis(brain inflammation),,10518,10261
37,STI(not including HIV),,11208,11070
37,Measles,,10654,10259
37,Hepatitis,,8118,7910
37,Salmonella,,8140,7803
37,Dengue,,2681,2625
37,Tetanus,,3724,3601
37,COVID-19,,634,564
38,Lower Respiratory,,261344,253892
38,Diarrhea,,172023,167173
38,Tuberculosis,,122876,119775
38,HIV/AIDS,,93745,91309
38,Malaria,,73758,71902
38,Typhoid,,15475,15071
38,Whooping cough,,14367,14084
38,Encephalitis(brain inflammation),,10771,10518
38,STI(not including HIV),,11385,11208
38,Measles,,10759,10654
38,Hepatitis,,8379,8118
38,Salmonella,,8280,8140
38,Dengue,,2792,2681
38,Tetanus,,3853,3724
38,COVID-19,,719,634
39,Lower Respiratory,,268318,261344
39,Diarrhea,,176532,172023
39,Tuberculosis,,126039,122876
39,HIV/AIDS,,96446,93745
39,Malaria,,74653,73758
39,Typhoid,,15859,15475
39,Whooping cough,,14833,14367
39,Encephalitis(brain inflammation),,11050,10771
39,STI(not including HIV),,11511,11385
39,Measles,,10932,10759
39,Hepatitis,,8616,8379
39,Salmonella,,8402,8280
39,Dengue,,2822,2792
39,Tetanus,,3967,3853
39,COVID-19,,806,719
40,Lower Respiratory,,274812,268318
40,Diarrhea,,180222,176532
40,Tuberculosis,,129563,126039
40,HIV/AIDS,,98945,96446
40,Malaria,,77456,74653
40,Typhoid,,16375,15859
40,Whooping cough,,15387,14833
40,Encephalitis(brain inflammation),,11300,11050
40,STI(not including HIV),,11724,11511
40,Measles,,11036,10932
40,Hepatitis,,8840,8616
40,Salmonella,,8597,8402
40,Dengue,,2848,2822
40,Tetanus,,4090,3967
40,COVID-19,,906,806
41,Lower Respiratory,,281789,274812
41,Diarrhea,,183987,180222
41,Tuberculosis,,132893,129563
41,HIV/AIDS,,101636,98945
41,Malaria,,78973,77456
41,Typhoid,,16569,16375
41,Whooping cough,,15759,15387
41,Encephalitis(brain inflammation),,11599,11300
41,STI(not including HIV),,12051,11724
41,Measles,,11225,11036
41,Hepatitis,,9064,8840
41,Salmonella,,8885,8597
41,Dengue,,2956,2848
41,Tetanus,,4172,4090
41,COVID-19,,1013,906
42,Lower Respiratory,,288897,281789
42,Diarrhea,,188093,183987
42,Tuberculosis,,136368,132893
42,HIV/AIDS,,104069,101636
42,Malaria,,79870,78973
42,Typhoid,,16940,16569
42,Whooping cough,,16084,15759
42,Encephalitis(brain inflammation),,11903,11599
42,STI(not including HIV),,12313,12051
42,Measles,,11344,11225
42,Hepatitis,,9304,9064
42,Salmonella,,9169,8885
42,Dengue,,2984,2956
42,Tetanus,,4270,4172
42,COVID-19,,1113,1013
43,Lower Respiratory,,295483,288897
43,Diarrhea,,192826,188093
43,Tuberculosis,,139795,136368
43,HIV/AIDS,,106483,104069
43,Malaria,,82834,79870
43,Typhoid,,17373,16940
43,Whooping cough,,16540,16084
43,Encephalitis(brain inflammation),,12134,11903
43,STI(not including HIV),,12689,12313
43,Measles,,11456,11344
43,Hepatitis,,9539,9304
43,Salmonella,,9333,9169
43,Dengue,,3053,2984
43,Tetanus,,4349,4270
43,COVID-19,,1118,1113
44,Lower Respiratory,,302880,295483
44,Diarrhea,,195998,192826
44,Tuberculosis,,143151,139795
44,HIV/AIDS,,109041,106483
44,Malaria,,85331,82834
44,Typhoid,,17812,17373
44,Whooping cough,,16973,16540
44,Encephalitis(brain inflammation),,12381,12134
44,STI(not including HIV),,13026,12689
44,Measles,,11549,11456
44,Hepatitis,,9724,9539
44,Salmonella,,9657,9333
44,Dengue,,3168,3053
44,Tetanus,,4436,4349
44,COVID-19,,1371,1118
45,Lower Respiratory,,309172,302880
45,Diarrhea,,198995,195998
45,Tuberculosis,,146392,143151
45,HIV/AIDS,,111282,109041
45,Malaria,,86882,85331
45,Typhoid,,18180,17812
45,Whooping cough,,17405,16973
45,Encephalitis(brain inflammation),,12619,12381
45,STI(not including HIV),,13173,13026
45,Measles,,12017,11549
45,Hepatitis,,9905,9724
45,Salmonella,,9906,9657
45,Dengue,,3278,3168
45,Tetanus,,4551,4436
45,COVID-19,,1523,1371
46,Lower Respiratory,,315588,309172
46,Diarrhea,,203612,198995
46,Tuberculosis,,149394,146392
46,HIV/AIDS,,113983,111282
46,Malaria,,88360,86882
46,Typhoid,,18443,18180
46,Whooping cough,,17751,17405
46,Encephalitis(brain inflammation),,12909,12619
46,STI(not including HIV),,13483,13173
46,Measles,,12177,12017
46,Hepatitis,,10100,9905
46,Salmonella,,10219,9906
46,Dengue,,3394,3278
46,Tetanus,,4667,4551
46,COVID-19,,1666,1523
47,Lower Respiratory,,322263,315588
47,Diarrhea,,208655,203612
47,Tuberculosis,,152876,149394
47,HIV/AIDS,,116245,113983
47,Malaria,,90325,88360
47,Typhoid,,18789,18443
47,Whooping cough,,17984,17751
47,Encephalitis(brain inflammation),,13186,12909
47,STI(not including HIV),,13958,13483
47,Measles,,12409,12177
47,Hepatitis,,10295,10100
47,Salmonella,,10554,10219
47,Dengue,,3502,3394
47,Tetanus,,4757,4667
47,COVID-19,,1770,1666
48,Lower Respiratory,,328892,322263
48,Diarrhea,,211808,208655
48,Tuberculosis,,155950,152876
