country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18
Czech Republic,Europe,https://cdn.countryflags.com/thumbs/czech-republic/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,8.0,12.0,19.0,26.0,32.0,40.0,63.0,94.0,116.0,150.0,214.0,298.0,344.0,434.0,522.0,694.0,904.0,995.0,1165.0,1236.0,1394.0,1654.0,2062.0,2279.0,2663.0,2829.0,3002.0,3308.0,3589.0,3858.0,4190.0,4472.0,4587.0,4822.0,5017.0,5312.0,5569.0,5732.0,5902.0,5991.0,6059.0,6141.0,6303.0,6433.0,6549.0
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"","",2.0,2.0,2.0,3.0,3.0,14.0,14.0,14.0,23.0,26.0,26.0,45.0,45.0,54.0,58.0,58.0,81.0,98.0,98.0,123.0,123.0,134.0,154.0,154.0,161.0,180.0,183.0,215.0,223.0,234.0,234.0,235.0,254.0,267.0,287.0,307.0
Denmark,Europe,https://cdn.countryflags.com/thumbs/denmark/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,5.0,8.0,10.0,20.0,23.0,31.0,38.0,113.0,264.0,516.0,676.0,804.0,827.0,875.0,932.0,1024.0,1115.0,1151.0,1255.0,1326.0,1395.0,1460.0,1591.0,1724.0,1877.0,2046.0,2201.0,2395.0,2577.0,2860.0,3107.0,3386.0,3757.0,4077.0,4369.0,4681.0,5071.0,5402.0,5635.0,5819.0,5996.0,6174.0,6318.0,6511.0,6681.0,6879.0,7073.0
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,1.0,1.0,1.0,1.0,3.0,3.0,12.0,12.0,13.0,15.0,19.0,26.0,31.0,34.0,41.0,41.0,51.0,59.0,90.0,121.0,135.0,140.0,150.0,187.0,214.0,298.0,363.0,435.0,591.0,732.0
Dominica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominica/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,1.0,2.0,7.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Dominican Republic,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominican-republic/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"","","","",2.0,"","",5.0,"","","",11.0,11.0,11.0,11.0,11.0,21.0,21.0,34.0,112.0,202.0,245.0,312.0,392.0,488.0,581.0,719.0,859.0,901.0,1109.0,1284.0,1380.0,1488.0,1578.0,1745.0,1828.0,1956.0,2111.0,2349.0,2620.0,2759.0,2967.0,3167.0,3286.0,3614.0,3755.0,4126.0
Ecuador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/ecuador/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,"",10.0,13.0,"","",14.0,15.0,17.0,"","",23.0,28.0,37.0,58.0,111.0,168.0,199.0,426.0,532.0,789.0,981.0,1082.0,1211.0,1403.0,1627.0,1835.0,1890.0,1966.0,2302.0,2758.0,3163.0,3368.0,3465.0,3646.0,3747.0,3995.0,4450.0,4965.0,7161.0,7257.0,7466.0,7529.0,7603.0,7858.0,8225.0,8450.0
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,"","","",3.0,15.0,"",49.0,55.0,59.0,60.0,80.0,93.0,93.0,110.0,126.0,166.0,196.0,210.0,256.0,285.0,294.0,327.0,366.0,442.0,456.0,495.0,536.0,576.0,609.0,656.0,710.0,779.0,779.0,985.0,1070.0,1073.0,1322.0,1560.0,1699.0,1794.0,1939.0,2065.0,2190.0,2350.0,2505.0,2673.0,2844.0
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,1.0,3.0,3.0,3.0,5.0,9.0,13.0,13.0,13.0,19.0,30.0,32.0,32.0,41.0,46.0,56.0,62.0,69.0,78.0,78.0,103.0,117.0,118.0,118.0,125.0,149.0,159.0,159.0,164.0,177.0
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,1.0,1.0,1.0,3.0,4.0,4.0,6.0,6.0,9.0,9.0,11.0,12.0,13.0,13.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,21.0,21.0,41.0,51.0,51.0,79.0
