country,url,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Jamaica,https://dynamospanish.com/wp-content/uploads/flags/images/Jamaica/2/large/Jamaica.png,190595,196392,201835,206919,211787,216469,220820,224874,228921,232936,236905,240977,245535,250169,254808,259237,263635,265595,267715,269899,272223,272738,273101,273510,273909,274307,274729,275387,276860,280038,283940,288520,293371
Japan,https://dynamospanish.com/wp-content/uploads/flags/images/Japan/2/large/Japan.png,32604675,32881547,33034692,33058594,32973653,32780073,32535135,32300525,32076845,31912515,31788630,31744940,31769622,31898008,32146831,32410758,32566293,32585577,32517742,32308596,31892212,31424426,30879089,30197949,29320089,28324362,27321613,26385884,25458946,24679031,24043328,23613298,23340781
Jordan,https://dynamospanish.com/wp-content/uploads/flags/images/Jordan/2/large/Jordan.png,340082,345571,355721,369695,383350,395722,404283,411187,420609,438589,466896,507773,555922,607269,653845,690005,715497,730527,739361,746011,754351,763991,774338,786644,804496,829977,864788,908328,960498,1017355,1074351,1133394,1193396
Kazakhstan,https://dynamospanish.com/wp-content/uploads/flags/images/Kazakhstan/2/large/Kazakhstan.png,1942387,1980257,2019165,2058332,2097651,2137789,2180607,2223173,2263374,2297308,2319204,2324239,2316412,2295022,2259664,2211099,2153301,2045647,1984048,1967699,1992744,2039571,2103249,2180291,2275437,2381006,2489771,2597881,2698096,2787315,2868079,2916541,2955061
Kenya,https://dynamospanish.com/wp-content/uploads/flags/images/Kenya/2/large/Kenya.png,902917,935574,970096,1005861,1042887,1081628,1122848,1165992,1212295,1262601,1317413,1377209,1441133,1508661,1577976,1647283,1715371,1761772,1808917,1857586,1906676,1953986,1995560,2030666,2032718,2042805,2054662,2070140,2092994,2126682,2194511,2274466,2366606
Kiribati,https://dynamospanish.com/wp-content/uploads/flags/images/Kiribati/2/large/Kiribati.png,15207,15687,16188,16704,17233,17779,18350,18926,19515,20060,20561,21003,21384,21750,22156,22628,23187,23290,23570,24007,24570,25194,25869,26542,27122,27037,26852,26600,26379,26261,26746,27344,28010
Kuwait,https://dynamospanish.com/wp-content/uploads/flags/images/Kuwait/2/large/Kuwait.png,266881,275330,281016,285646,288710,288521,286115,282060,276024,271895,265692,261070,259298,261184,264683,270444,278654,288407,299930,311249,322694,333089,343264,356010,372145,392891,418233,447159,478596,508687,537624,566353,594458
Kyrgyzstan,https://dynamospanish.com/wp-content/uploads/flags/images/Kyrgyzstan/2/large/Kyrgyzstan.png,478866,491483,504129,516822,529349,541608,554313,566887,580617,593918,605842,612076,610953,604479,587559,571065,559655,554390,554262,555737,559340,565856,574305,591620,611133,629736,640234,649969,659826,668428,675788,684582,692756
Laos,https://dynamospanish.com/wp-content/uploads/flags/images/Laos/2/large/Laos.png,616080,625189,638079,654267,672381,691086,711184,733687,758124,781874,805244,828421,851231,874276,896127,917511,938509,951836,963155,973346,982828,991708,999595,1007382,1007731,1012234,1022580,1038220,1058608,1082659,1109177,1137351,1169048
Latvia,https://dynamospanish.com/wp-content/uploads/flags/images/Latvia/2/large/Latvia.png,562648,564329,566360,568919,572260,576612,582120,589213,596273,599896,600196,600266,597498,591288,587503,585774,585802,588433,591010,596029,598764,600666,601275,601618,597459,593552,586750,581309,577892,576079,570064,565843,561321
Lebanon,https://dynamospanish.com/wp-content/uploads/flags/images/Lebanon/2/large/Lebanon.png,571915,584741,606415,626283,638527,642496,646060,645595,652239,669000,689764,712445,739870,769368,796216,817918,833171,837205,830214,820838,814565,814752,820486,829986,838724,845666,849641,850204,851363,860088,880025,925137,983600
Lesotho,https://dynamospanish.com/wp-content/uploads/flags/images/Lesotho/2/large/Lesotho.png,150329,154393,158409,162612,166582,170389,174085,177827,181596,185637,190166,195462,201372,207446,213004,217768,221311,222047,221800,221422,221287,221410,219117,216915,214909,213186,210795,208602,207159,207193,208575,212443,217171
Liberia,https://dynamospanish.com/wp-content/uploads/flags/images/Liberia/2/large/Liberia.png,81162,83565,86214,88723,90657,91694,91755,91090,89897,88422,86938,85410,83920,83148,83944,86827,92207,98162,105054,111905,117713,121932,124876,126902,128994,131889,135721,139970,142193,143945,145331,146670,150065
Libya,https://dynamospanish.com/wp-content/uploads/flags/images/Libya/2/large/Libya.png,276795,282371,288088,292173,292811,292683,288810,281545,276489,274301,276896,283959,291348,298668,305703,312114,318580,339930,355543,368524,380981,391108,401162,414478,430787,452154,480520,532489,590089,644383,670930,664177,669123
Liechtenstein,https://dynamospanish.com/wp-content/uploads/flags/images/Liechtenstein/2/large/Liechtenstein.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lithuania,https://dynamospanish.com/wp-content/uploads/flags/images/Lithuania/2/large/Lithuania.png,549164,555433,561171,566289,571632,577292,582883,588552,593390,597071,599492,601856,606951,613815,623084,639127,654462,671516,685780,696727,703109,704367,705501,707775,711666,719668,719778,722927,727205,733873,722428,720261,717098
Luxembourg,https://dynamospanish.com/wp-content/uploads/flags/images/Luxembourg/2/large/Luxembourg.png,96196,96209,96161,96106,95825,95529,95242,95129,95208,95140,94721,94324,93907,93664,94433,95615,97142,98550,99707,100603,101470,102276,102751,102207,101126,100088,100886,102003,102230,103013,103731,104810,106192
Macao,https://dynamospanish.com/wp-content/uploads/flags/images/Macao/2/large/Macao.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Macedonia,https://dynamospanish.com/wp-content/uploads/flags/images/Macedonia/2/large/Macedonia.png,469403,477570,484975,491875,499356,507549,517149,527384,537327,546278,552535,555639,556053,555078,554691,556133,560002,571223,581569,590807,599210,604901,609111,612285,615687,619445,623111,627074,631395,635374,638896,642519,645135
Madagascar,https://dynamospanish.com/wp-content/uploads/flags/images/Madagascar/2/large/Madagascar.png,1051925,1075978,1100478,1127285,1155827,1186337,1219464,1254704,1292748,1334203,1378002,1422900,1471657,1525157,1583176,1645211,1711281,1702965,1710009,1730243,1758428,1789135,1812835,1830416,1837401,1768705,1702691,1645663,1603934,1586986,1622557,1672860,1736849
Malawi,https://dynamospanish.com/wp-content/uploads/flags/images/Malawi/2/large/Malawi.png,428945,437724,444970,453610,467717,489331,519742,557428,597771,634664,663978,684219,696581,704577,711969,722700,737419,742213,748835,755227,759837,752390,746139,742193,740614,741922,745850,751264,759095,770218,788590,813382,842296
Malaysia,https://dynamospanish.com/wp-content/uploads/flags/images/Malaysia/2/large/Malaysia.png,1994018,2034453,2076147,2121046,2170886,2234727,2310905,2394241,2477850,2557961,2633744,2703055,2767768,2830990,2893398,2958926,3029254,3087480,3162243,3236036,3302524,3367933,3424980,3473537,3491809,3512893,3558685,3613131,3677770,3760559,3864928,3977655,4085928
Maldives,https://dynamospanish.com/wp-content/uploads/flags/images/Maldives/2/large/Maldives.png,17679,18207,18776,19356,19897,20396,20868,21319,21747,22160,22582,23004,23440,23925,24454,25085,25812,26699,27637,28619,29659,30764,31932,33154,34470,36045,37745,39558,41461,43429,45162,46819,48450
Mali,https://dynamospanish.com/wp-content/uploads/flags/images/Mali/2/large/Mali.png,394923,400407,406580,412805,418056,421818,423653,424087,424600,426959,431862,439329,449333,461464,474834,488765,502804,514771,527771,542248,558050,575093,592962,612114,631188,651403,672540,693925,716458,740311,763965,786396,808244
Malta,https://dynamospanish.com/wp-content/uploads/flags/images/Malta/2/large/Malta.png,65589,67142,68813,70628,72511,74428,76300,78040,79502,80740,81832,82738,83509,84146,84596,84840,84986,84333,83766,83165,82366,81728,81098,79821,78698,77642,76897,76405,76240,77328,78143,79181,80354
Marshall Islands,https://dynamospanish.com/wp-content/uploads/flags/images/Marshall_Islands/2/large/Marshall_Islands.png,3256,3428,3577,3741,3916,4109,4307,4514,4732,4890,5032,5174,5289,5395,5488,5567,5649,5720,5802,5890,5981,6088,6217,6330,6441,6550,6660,6769,6880,7003,7155,7312,7478
Mauritania,https://dynamospanish.com/wp-content/uploads/flags/images/Mauritania/2/large/Mauritania.png,77741,80307,83077,85958,89031,92164,95302,98603,102209,106073,110291,114782,119693,124953,130810,137140,143867,151110,159081,167646,177102,187291,198201,209193,218831,228315,236406,245673,255347,265760,275938,285824,295072
Mauritius,https://dynamospanish.com/wp-content/uploads/flags/images/Mauritius/2/large/Mauritius.png,130932,134385,137600,140619,143518,146419,149247,151946,154583,157357,160265,163351,166581,168356,169582,170378,170696,169214,167806,164203,160555,157370,155005,153649,154915,156979,159568,162544,165731,169357,173235,177126,180963
Mexico,https://dynamospanish.com/wp-content/uploads/flags/images/Mexico/2/large/Mexico.png,10121218,10136531,10278811,10552366,10864714,11226486,11695834,12213611,12771903,13116021,13390657,13580359,13672636,13689015,13183042,12630785,11953082,11051270,10290294,9595458,9061762,8667349,8376157,8108411,7998155,7898130,7708635,7536182,7440285,7514808,7810113,8167695,8496024
Moldova,https://dynamospanish.com/wp-content/uploads/flags/images/Moldova/2/large/Moldova.png,757212,766688,777219,787276,795930,801311,807347,811933,815984,820750,823648,816722,796511,777849,752388,728174,706937,674159,646167,622925,606264,595579,589895,587244,587556,591100,583464,577174,575991,574764,578451,594522,611955
Monaco,https://dynamospanish.com/wp-content/uploads/flags/images/Monaco/2/large/Monaco.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Mongolia,https://dynamospanish.com/wp-content/uploads/flags/images/Mongolia/2/large/Mongolia.png,198955,205610,212887,220500,228682,237511,247042,257127,267227,276598,284662,290994,295675,299589,303703,308930,314988,322503,331017,340402,351258,362657,374772,387669,401521,415717,428699,442436,457329,471754,486670,502588,518930
Montenegro,https://symondsflags.com/wp-content/uploads/2014/09/montenegro-flag.jpg,112634,114055,115675,117320,118834,120098,121055,121753,122263,122668,123067,123755,124979,126879,128694,130178,130893,131548,132063,132947,133565,134204,134833,135437,135913,136162,135946,135271,134381,133913,133572,133302,133211
Morocco,https://dynamospanish.com/wp-content/uploads/flags/images/Morocco/2/large/Morocco.png,1495750,1541757,1586161,1636254,1688557,1740939,1792181,1848991,1904643,1961000,2016892,2071669,2132519,2195434,2252821,2317949,2378129,2438089,2495176,2555184,2614765,2660322,2707390,2750085,2791628,2834802,2876516,2919177,2960302,3004072,3051954,3104458,3161489
Mozambique,https://dynamospanish.com/wp-content/uploads/flags/images/Mozambique/2/large/Mozambique.png,837302,855124,871873,884355,889778,886337,872115,850479,828292,815595,818936,841507,879531,928052,977388,1020417,1056658,1088527,1114324,1137909,1162287,1189844,1221017,1256294,1303126,1350393,1380449,1404073,1423015,1439937,1457274,1478968,1515245
Myanmar,https://dynamospanish.com/wp-content/uploads/flags/images/Myanmar/2/large/Myanmar.png,4369829,4481313,4592475,4704617,4815130,4928140,5049231,5185568,5349214,5507901,5664430,5824858,5963636,6091250,6200023,6298785,6390991,6480495,6566871,6630130,6665222,6684352,6741312,6783632,6759373,6725380,6690212,6661789,6662316,6687057,6734754,6802243,6886003
Namibia,https://dynamospanish.com/wp-content/uploads/flags/images/Namibia/2/large/Namibia.png,95237,96293,97564,99362,102096,106098,111515,118130,125631,133363,140792,147683,154066,160349,166694,173331,180276,184937,189346,192568,194123,190591,186240,182100,180002,179281,179630,181127,184673,189513,195288,201965,209463
Nauru,https://dynamospanish.com/wp-content/uploads/flags/images/Nauru/2/large/Nauru.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Nepal,https://dynamospanish.com/wp-content/uploads/flags/images/Nepal/2/large/Nepal.png,2890526,2961400,3034896,3112584,3187271,3260822,3331671,3403346,3478572,3568231,3677988,3810448,3965631,4135266,4305832,4471644,4627097,4707907,4781977,4849907,4903528,4922853,4828776,4716406,4571747,4413471,4262860,4161348,4111096,4087660,4093768,4126481,4213365
Netherlands,https://dynamospanish.com/wp-content/uploads/flags/images/Netherlands/2/large/Netherlands.png,3235451,3237042,3237140,3240271,3242855,3252912,3267033,3285320,3291983,3304255,3313974,3330968,3335464,3348482,3366121,3375679,3398297,3414581,3434617,3432124,3408008,3377368,3338986,3275496,3208320,3146002,3075799,3000008,2931991,2889634,2866165,2857124,2860947
New Zealand,https://dynamospanish.com/wp-content/uploads/flags/images/New_Zealand/2/large/New_Zealand.png,741719,748080,753331,757330,751034,737929,721542,706029,690907,677555,675368,691585,702497,708326,712262,715154,718650,723691,726065,723656,719668,716260,716656,714017,698371,671543,639859,610363,591022,578646,573118,572959,578689
Nicaragua,https://dynamospanish.com/wp-content/uploads/flags/images/Nicaragua/2/large/Nicaragua.png,275904,277278,277803,279250,280459,281173,282045,283219,282567,282542,283166,284521,286684,289267,292188,295669,299437,300981,304631,310324,317249,324810,332342,340302,349229,358420,367787,377538,387508,397244,408064,420218,433250
Niger,https://dynamospanish.com/wp-content/uploads/flags/images/Niger/2/large/Niger.png,166600,170531,173766,176855,180643,185317,190990,197651,204999,212623,220364,227772,235256,242976,251193,260376,270559,279125,288509,298111,307399,315619,321817,327621,333221,339158,345928,351175,362610,376953,394409,413498,430969
Nigeria,https://dynamospanish.com/wp-content/uploads/flags/images/Nigeria/2/large/Nigeria.png,3902789,4000435,4094232,4182674,4270889,4362389,4461883,4569424,4682210,4799488,4925630,4970260,4988025,4962125,4878847,4731194,4524069,4221315,4001079,3854758,3764783,3715382,3691837,3687176,3658832,3641367,3632595,3633232,3645986,3664672,3690116,3724554,3776711
North Korea,https://dynamospanish.com/wp-content/uploads/flags/images/North_Korea/2/large/North_Korea.png,2512252,2588107,2667222,2748892,2833479,2919637,3008265,3098730,3189950,3282313,3375469,3468944,3562423,3653555,3738922,3816160,3882768,3918673,3953946,3993073,4036937,4085740,4139302,4194494,4248439,4297564,4333552,4369573,4405241,4455460,4511809,4572481,4637347
Norway,https://dynamospanish.com/wp-content/uploads/flags/images/Norway/2/large/Norway.png,1094038,1107557,1120905,1132618,1142223,1149926,1156674,1163689,1168799,1168822,1165144,1161304,1153966,1140993,1125748,1108138,1090707,1067404,1045686,1023204,995635,962956,928708,895095,859460,823328,789452,758161,730611,710789,689840,675916,671237
Oman,https://dynamospanish.com/wp-content/uploads/flags/images/Oman/2/large/Oman.png,60767,65344,70049,74825,79550,84102,88349,92333,96725,102278,109447,118793,129574,139902,147180,147026,140004,128266,116202,106475,100389,100294,103299,108467,114570,120961,126955,132892,140499,152579,170948,196646,228437
Pakistan,https://dynamospanish.com/wp-content/uploads/flags/images/Pakistan/2/large/Pakistan.png,9112204,9395810,9693221,9998698,10307997,10617068,10925731,11238433,11551499,11864605,12176729,12487064,12790780,13099691,13437848,13789536,14157976,14508181,14815522,15109089,15388614,15657816,15921041,16204493,16536869,16684418,16826083,16980363,17145278,17327739,17530431,17778322,18078040
Palau,https://dynamospanish.com/wp-content/uploads/flags/images/Palau/2/large/Palau.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Palestine,http://www.think-israel.org/jan12pix/palestine.flag.jpg,196221,201649,207599,214413,221723,229616,237567,246300,256128,266945,278431,291315,304692,319004,334142,350776,369291,385471,400819,414558,426792,432674,437232,440557,443934,447987,453283,459843,467809,475407,483665,500886,520680
Panama,https://dynamospanish.com/wp-content/uploads/flags/images/Panama/2/large/Panama.png,118686,122224,125924,129552,133298,137195,141145,145088,148859,152490,156323,160503,164870,169414,173719,178126,182981,185822,186510,186462,186232,186025,186059,186195,186977,188362,190481,193684,199570,206207,213361,221006,228869
Papua New Guinea,https://dynamospanish.com/wp-content/uploads/flags/images/Papua_New_Guinea/2/large/Papua_New_Guinea.png,677571,697130,717777,739155,761348,784096,807404,831552,856906,884037,913356,943730,973479,1002090,1030846,1060522,1089932,1121732,1154279,1188107,1223775,1260364,1297254,1335576,1374488,1412492,1450768,1487168,1523618,1560186,1597762,1635648,1674648
Paraguay,https://dynamospanish.com/wp-content/uploads/flags/images/Paraguay/2/large/Paraguay.png,301571,309484,317867,326878,336053,345376,354991,364664,374320,384019,393794,403764,413953,424523,435472,446530,458061,462588,467230,472616,478923,485660,492466,498924,496787,494647,493027,492219,492697,496441,501785,509464,523900
Peru,https://dynamospanish.com/wp-content/uploads/flags/images/Peru/2/large/Peru.png,1001165,1030494,1061383,1095595,1130115,1165539,1200367,1234480,1270595,1309403,1349357,1389893,1430926,1471415,1511316,1551959,1594610,1658052,1722654,1787134,1847584,1904606,1958348,2009422,2058308,2099415,2138808,2175099,2210144,2240258,2269944,2303626,2345470
Philippines,https://dynamospanish.com/wp-content/uploads/flags/images/Philippines/2/large/Philippines.png,7414352,7665651,7927534,8200057,8490938,8800564,9113949,9436048,9761822,10088947,10415186,10743367,11071790,11402845,11720397,12036171,12345746,12521512,12700326,12706101,12713937,12743607,12696447,12651725,12682121,12731088,12801978,12897713,13034534,13237595,13592295,13999472,14470787
Poland,https://dynamospanish.com/wp-content/uploads/flags/images/Poland/2/large/Poland.png,11410832,11351198,11317706,11154400,10954072,10745726,10540861,10352938,10183519,10034524,10035379,10089657,10144350,10176345,10155168,10040451,9842770,9698927,9597482,9531443,9495964,9517202,9593431,9686140,9756887,9797815,9687814,9514668,9336071,9191872,9054428,8943129,8864459
Portugal,https://dynamospanish.com/wp-content/uploads/flags/images/Portugal/2/large/Portugal.png,1548910,1554079,1555760,1557946,1564514,1576539,1597693,1630508,1682210,1737497,1773998,1798444,1797973,1780875,1749726,1700586,1668596,1692943,1733955,1783253,1840972,1892186,1936229,1949878,1953275,1952022,1954024,1958523,1963785,1969933,1966197,1960307,1952984
Puerto Rico,https://dynamospanish.com/wp-content/uploads/flags/images/Puerto_Rico/2/large/Puerto_Rico.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Qatar,https://dynamospanish.com/wp-content/uploads/flags/images/Qatar/2/large/Qatar.png,21252,24498,28675,33407,38081,42314,45974,49129,51805,53994,55787,57158,58072,58715,59295,59995,61176,62833,64794,66743,68628,69856,70998,74610,84092,101640,128318,162751,201409,239310,272481,299682,321940
Romania,https://dynamospanish.com/wp-content/uploads/flags/images/Romania/2/large/Romania.png,4340999,4322443,4301164,4282896,4275505,4287728,4324707,4388928,4477014,4581597,4716070,4861007,5009246,5151420,5279173,5321099,5318341,5206631,5083030,4941753,4748357,4591377,4495822,4471023,4513721,4649704,4751116,4842988,4920408,4951778,4938061,4904420,4870683
Russia,https://dynamospanish.com/wp-content/uploads/flags/images/Russian_Federation/2/large/Russian_Federation.png,37945946,38008382,38027068,38042123,38032799,38017335,38030592,38052251,38066684,38069129,38078221,38089230,38093414,37757889,37813808,37951602,38011194,37652788,37262874,36796213,36290534,35841948,35519076,35597036,35853704,36201913,36586859,37022880,37454257,37842384,37902915,38242847,38559077
Rwanda,https://dynamospanish.com/wp-content/uploads/flags/images/Rwanda/2/large/Rwanda.png,373596,385266,396144,407467,420231,435095,453556,474852,495120,508662,511935,502452,483169,460862,445868,447901,469089,491907,520932,548382,568459,571533,568786,562508,555780,550365,533286,516429,501497,489204,480195,475807,489280
St. Kitts & Nevis,https://dynamospanish.com/wp-content/uploads/flags/images/Saint_Kitts_and_Nevis/2/large/Saint_Kitts_and_Nevis.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
St. Lucia,https://dynamospanish.com/wp-content/uploads/flags/images/Saint_Lucia/2/large/Saint_Lucia.png,5708,5876,6056,6252,6477,6734,7034,7362,7719,8079,8431,8754,9059,9341,9620,9906,10202,10201,10255,10357,10498,10647,10821,11028,11285,11589,11958,12371,12806,13215,13577,13884,14130
St. Vincent & the Grenadines,https://dynamospanish.com/wp-content/uploads/flags/images/Saint_Vicent_and_the_Grenadines/2/large/Saint_Vicent_and_the_Grenadines.png,5118,5270,5421,5568,5701,5823,5927,6018,6086,6149,6209,6278,6345,6416,6496,6569,6643,6689,6733,6779,6836,6907,6973,7033,7081,7118,7136,7148,7174,7208,7254,7307,7348
Samoa,https://dynamospanish.com/wp-content/uploads/flags/images/Samoa/2/large/Samoa.png,22767,23246,23759,24290,24776,25197,25531,25845,26168,26437,26750,27098,27429,27732,28077,28354,28560,28426,28345,28328,28297,28226,28148,27758,27327,26832,26378,25943,25622,25480,25689,25965,26316
San Marino,https://dynamospanish.com/wp-content/uploads/flags/images/San_Marino/2/large/San_Marino.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Sao Tome & Principe,https://dynamospanish.com/wp-content/uploads/flags/images/Sao_Tome_and_Principe/2/large/Sao_Tome_and_Principe.png,1839,1870,1894,1911,1926,1943,1960,1976,1995,2022,2054,2092,2135,2179,2220,2252,2277,2295,2313,2340,2380,2436,2506,2589,2680,2777,2884,2998,3121,3249,3379,3513,3649
Saudi Arabia,https://dynamospanish.com/wp-content/uploads/flags/images/Saudi_Arabia/2/large/Saudi_Arabia.png,399714,415989,431809,446998,462407,480286,505653,543988,626321,734803,864854,970977,1076589,1175601,1263368,1340779,1409684,1447521,1485157,1538302,1615053,1718522,1844054,1982704,2121220,2243497,2356186,2462685,2563340,2662948,2766358,2870828,2978090
Senegal,https://dynamospanish.com/wp-content/uploads/flags/images/Senegal/2/large/Senegal.png,324324,331259,337261,345441,354412,363741,373155,382246,392424,403878,416587,430112,444764,460318,476148,490296,503103,508344,510843,512416,515140,518732,523657,527137,521953,516667,513616,511148,510756,513357,518601,527115,544610
Serbia,https://cdn11.bigcommerce.com/s-qf9b/images/stencil/500x659/products/1641/3280/serbiaPS__19306.1514879366.jpg,1560137,1576326,1593977,1612358,1629581,1645805,1660523,1673797,1687929,1706885,1733626,1776869,1852399,1961667,2079749,2197128,2304865,2384604,2450551,2527907,2575337,2586975,2570423,2541714,2487885,2427750,2365293,2299219,2238137,2197130,2164905,2138205,2118021
Seychelles,https://dynamospanish.com/wp-content/uploads/flags/images/Seychelles/2/large/Seychelles.png,7191,7349,7554,7776,7948,8000,7981,7905,7796,7678,7635,7719,7876,8079,8306,8510,8628,8662,8673,8741,8878,9096,9386,9742,10107,10417,10671,10870,11048,11188,11264,11303,11319
Sierra Leone,https://dynamospanish.com/wp-content/uploads/flags/images/Sierra_Leone/2/large/Sierra_Leone.png,336255,341013,345654,350721,356558,363343,371379,380584,389520,396555,400500,400503,397456,392839,388511,385882,385045,384803,387664,394466,405604,421726,442591,466040,489179,510220,528518,544342,558257,570904,584630,598997,614196
Singapore,https://dynamospanish.com/wp-content/uploads/flags/images/Singapore/2/large/Singapore.png,306001,310001,313317,316176,318636,321563,325564,329149,322394,326062,335721,340206,344468,347795,350358,352461,354775,356155,358465,358544,358342,361075,364384,368920,373250,381135,390141,389606,397983,411305,416365,419092,422659
Slovakia,https://dynamospanish.com/wp-content/uploads/flags/images/Slovakia/2/large/Slovakia.png,897431,901577,905270,908874,912804,916893,920886,925276,930483,936319,942685,951772,963764,977196,991971,1006906,1021509,1028186,1033918,1040152,1046701,1052854,1057945,1061157,1057072,1052168,1039228,1025461,1014590,1008540,1014609,1023995,1035400
Slovenia,https://dynamospanish.com/wp-content/uploads/flags/images/Slovenia/2/large/Slovenia.png,426184,427141,428971,430894,432148,432272,430897,428798,426185,423048,420520,418763,417040,414255,410746,406807,402705,400051,396774,392348,386973,381207,375110,369674,367107,365996,365914,367815,374655,384272,388580,391621,393481
Solomon Islands,https://dynamospanish.com/wp-content/uploads/flags/images/Soloman_Islands/2/large/Soloman_Islands.png,35195,36344,37470,38585,39746,40976,42272,43640,45075,46610,48274,50032,51845,53751,55751,57843,59992,61821,63812,65866,67849,69722,71480,73216,74862,76363,77767,78728,79839,81538,83493,85636,87843
Somalia,https://dynamospanish.com/wp-content/uploads/flags/images/Somalia/2/large/Somalia.png,386051,395203,395259,389206,382088,377509,376632,378470,381554,384007,384567,382809,379426,376050,374231,375408,380189,382148,386799,393011,399655,406389,413512,420949,428613,436876,445629,454764,464293,474791,486542,499596,513594
South Africa,https://dynamospanish.com/wp-content/uploads/flags/images/South_Africa/2/large/South_Africa.png,4025272,4105302,4206079,4321325,4428537,4545090,4662194,4771594,4872994,4982965,5118080,5278584,5464407,5656208,5838436,6002634,6144491,6157621,6165442,6042932,5904379,5761120,5617076,5486651,5317589,5166459,5072256,5022143,5070587,5161060,5265381,5375874,5491791
South Korea,https://dynamospanish.com/wp-content/uploads/flags/images/South_Korea/2/large/South_Korea.png,8446893,8710215,8966882,9217350,9469450,9725105,9978974,10226613,10460395,10676073,10839743,10925914,10989076,11043459,11154574,11261065,11303588,11290378,11267152,11142086,11019242,10878251,10729266,10570932,10412165,10264020,10170250,10083198,10010697,9953211,9905257,9908890,9961625
South Sudan,https://www.worldatlas.com/r/w728-h425-c728x425/upload/b1/9f/c9/ss-flag.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Spain,https://dynamospanish.com/wp-content/uploads/flags/images/Spain/2/large/Spain.png,9504425,9592918,9694942,9794318,9904523,10031053,10176847,10340591,10516386,10777871,10956746,11071447,11078815,11010037,10901098,10741463,10591039,10448165,10330533,10253452,10218562,10225492,10242496,10179032,10165195,10152824,10088801,10049238,9999135,9894596,9831673,9788908,9798622
Sri Lanka,https://dynamospanish.com/wp-content/uploads/flags/images/Sri_Lanka/2/large/Sri_Lanka.png,1286960,1308479,1329716,1351336,1373253,1396152,1420541,1446664,1473485,1500079,1525051,1548955,1571884,1594252,1613692,1632228,1649056,1654225,1659823,1666346,1674712,1686603,1691284,1699106,1705431,1714244,1725276,1750967,1778265,1808389,1840304,1871272,1902234
Sudan,https://dynamospanish.com/wp-content/uploads/flags/images/Sudan/2/large/Sudan.png,586957,608057,630909,655373,679516,702593,725316,746415,766102,786335,809594,836860,865424,893967,922298,950221,977342,1003529,1030297,1058571,1087710,1116860,1145727,1177466,1212392,1250359,1291343,1335073,1382032,1429447,1475574,1523903,1573706
Suriname,https://dynamospanish.com/wp-content/uploads/flags/images/Suriname/2/large/Suriname.png,13337,13734,14102,14467,14841,15206,15592,16019,16418,16800,17236,17627,18029,18481,18891,19282,19608,19798,19979,20272,20609,20978,21333,21660,21966,22216,22460,22676,22880,23093,23289,23469,23631
Swaziland,https://dynamospanish.com/wp-content/uploads/flags/images/Swaziland/2/large/Swaziland.png,18771,19200,19624,20090,20645,21306,22107,23040,24046,25072,26062,26995,27890,28774,29673,30622,31645,32656,33694,34667,35562,36356,37113,38014,39201,40763,42623,44724,46879,49074,51298,53451,55510
Sweden,https://dynamospanish.com/wp-content/uploads/flags/images/Sweden/2/large/Sweden.png,1852265,1815367,1784557,1762279,1756288,1759785,1766547,1767414,1765884,1760880,1752794,1735991,1713185,1679788,1643800,1599264,1544887,1485756,1434473,1389968,1343329,1290626,1229377,1154969,1082624,1024559,987405,970927,969294,987301,1012936,1042500,1074390
Switzerland,https://dynamospanish.com/wp-content/uploads/flags/images/Switzerland/2/large/Switzerland.png,1402529,1407909,1419807,1431835,1439057,1444237,1455449,1481925,1510125,1534464,1556392,1589653,1623806,1663377,1701003,1741567,1780438,1792489,1781056,1738832,1662220,1581231,1512234,1443728,1383123,1332199,1293483,1267985,1267596,1281332,1299129,1320853,1338689
Syria,https://dynamospanish.com/wp-content/uploads/flags/images/Syria/2/large/Syria.png,844639,859269,876688,897321,922470,948028,976831,1007243,1037950,1075835,1115567,1157840,1199949,1243984,1288645,1335726,1386480,1439413,1492190,1547239,1601373,1651061,1695452,1743768,1802171,1876313,1971390,2084596,2202294,2302910,2374902,2413139,2421878
Taiwan,https://dynamospanish.com/wp-content/uploads/flags/images/Taiwan/2/large/Taiwan.png,2592502,2677512,2751881,2825924,2902083,2979633,3057390,3132882,3207724,3283864,3362506,3436128,3523940,3600096,3676796,3750857,3821814,3831606,3841624,3847800,3842643,3852980,3817129,3750254,3682198,3612482,3549189,3492859,3448243,3413719,3404433,3410785,3428743
