country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Dominica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominica/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Dominican Rep.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominican-republic/flag-button-round-250.png,29393,24948,30707,28173,18544,20454,20669,16400,21200,22319,22818,26110,43618,33658,34622,45385,34918,54203,44562,37411,40223,34184,33569,27907,31395,25985,28664,27976,29682,18328,23700,19895,18692,13492,20961,24054,26878,42674,17125,3397,4571,4613,7558,8404,10053,9724,12861,9054,11800,8066,10414,9225,9254,9163,12923,8890,8797,10721
Ecuador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/ecuador/flag-button-round-250.png,851,979,870,1855,2399,1647,1444,1231,1494,2160,1665,1166,1286,2251,2000,2300,1890,2511,3464,3277,3560,3264,1764,4435,3063,3517,3744,4160,1967,2553,3645,4876,3226,3096,1625,1816,3850,3461,3851,5080,4924,7164,7958,8350,7685,7800,7900,8000,8100,7911,7961,7824,7731,7391,7116,6830,4124,6304
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,900,1100,1204,1183,1200,1200,1100,1100,1115,1130,1800,1800,1865,1955,2887,2249,2106,2280,4025,4025,4379,4363,4716,1418,1256,1121,1389,990,680,740,720,730,740,750,1240,1038,1038,1038,1100,1050,1100,1179,1220,1260,1301,1369,1414,1459,1504,1549,1595,1680,1690,1736,1787,1791,1830,1869
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3929,3900,3500,3500,3500,3386,3200,3300,3168,3000,3000,3000,2891,2797,2733,2666,2599,2532,2465,2399,2332,2263,2217,2138,2073,2009
Fiji,Asia & the Pacific,https://cdn.countryflags.com/thumbs/fiji/flag-button-round-250.png,430,430,620,620,700,700,500,780,419,408,408,400,400,400,407,488,538,269,301,413,315,384,322,227,377,293,208,108,164,240,252,279,367,272,136,214,215,167,233,313,390,238,385,224,333,318,266,257,439,452,480,464,490,457,441,453,458,464
Finland,Europe,https://cdn.countryflags.com/thumbs/finland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,34238,39379,40615,43381,49015,47130,47097,51717,44454,46537,42962,50077,50439,49366,50988,62050,45744,53990,51800,45981,42380,43000,36200,35530,35790,37520,37620,32606,28568,27632,25249,23839,24317,25542,22288,22875,18698,15714,16213,17719,18428,13999,12397,9634,9825,18880,15805,16320,17190,18428,13999,12397,9634,9825,9655,8602,7896,7046
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3900,2205,1600,1000,1000,200,3415,2144,1855,1634,2065,1384,1461,1094,300,100,100,100,221,364,420,420,288,262,274,275,270
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,13210,14861,18201,17528,14895,15160,14910,14293,13702,13953,13837,15606,17618,15600,14357,15428,14022,12089,12856,10638,11773,12004,11357,12533,13768,13754,11640,12811,12478,10441,6889,8113,8702,7742,6836,8312,8504,9826,11160,10985,11441,11300,11625,10101,10896,8515,7740,8339,8223,6165,6759,7169,6741,6847,6713,6396,6218,6064
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,600,700,793,904,862,610,1219,1118,856,937,1411,1740,2596,3334,2342,2044,400,600,500,500,800,1200,1800,2400,2838,2000,2000,2000,2000,1530,1160,1740,1725,2230,1700,2000,2024,2390,1350,1350,1350,1350,1350,1350,2500,2500,2700,2417,2242,2339,2393,2446,2500,2423,2390,2377,2387,2397
Gibraltar,Europe,http://img.freeflagicons.com/thumb/round_icon/gibraltar/gibraltar_640.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Greece,Europe,https://cdn.countryflags.com/thumbs/greece/flag-button-round-250.png,74245,89361,129000,133800,125626,104061,114152,89566,79818,94833,88162,85664,91739,82835,119138,141675,119774,129000,127883,117339,130900,138368,115844,145260,150600,161000,155000,149000,133000,135685,161900,186600,164903,141363,148543,149296,146975,146478,144587,137039,142011,133649,136128,133946,124351,37405,29359,27062,26776,29948,32043,34250,40613,40940,37031,37865,32712,22730
Greenland,North America,https://image.flaticon.com/icons/svg/197/197453.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Grenada,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/grenada/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guatemala,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guatemala/flag-button-round-250.png,2200,2200,3200,3300,3600,3800,4320,3990,4135,5193,5340,6177,7549,8786,8280,8820,9300,10451,11320,10497,6841,9660,9048,10340,8660,7371,10050,11523,11886,11151,10129,16530,20208,14193,10720,17165,18515,20440,16902,18630,18116,18525,17395,16166,15844,17586,17772,22054,28005,26907,26195,25555,26735,27937,28445,29742,29773,29178
Guinea,Africa,https://cdn.countryflags.com/thumbs/guinea/flag-button-round-250.png,1100,1150,1200,1250,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1350,1350,1400,1400,1450,1500,1500,1600,1700,1720,1740,1800,1800,1800,1800,2008,2169,2176,2183,2191,2198,2206,2213,2221,2228,2236,2243,2250,2258,2265,2251,1995,1900,2215,2322,2520,2500,2350,2348,2341,2366,2390,2406,2421
Guinea-Bissau,Africa,https://cdn.countryflags.com/thumbs/guinea-bissau/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
