country,category,url,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Czech Rep.,Europe,https://cdn.countryflags.com/thumbs/czech-republic/flag-button-round-250.png,58.121,60.606,62.196000000000005,64.334,65.131,62.56,60.528,59.293,58.882,58.705,60.847,64.257,64.598,64.93,64.692,73.46600000000001,74.6472,76.348,83.2266,84.3331,82.5786,84.3609,88.0238,83.5164,82.25,85.9001,87.5606,87.5737,87.0649,86.0034,83.8884,83.3019,87.0376,88.0018
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","",5.942,5.919,6.057,6.1049999999999995,7.015,7.326,7.464,7.776,7.4510000000000005,7.755000000000001,7.822,7.816,7.5351,8.174,8.761999999999999,8.864,9.048,9.424999999999999,9.424999999999999
Denmark,Europe,https://cdn.countryflags.com/thumbs/denmark/flag-button-round-250.png,29.14304444,30.78308889,29.48931111,28.0695,22.93352222,25.97718889,36.5405,30.73337778,33.96900278,40.19660556,36.66305,53.57758056,44.31163611,41.11068889,38.91459444,36.04884167,37.72620833,39.28264444,46.17945833,40.43985,36.24135,45.60229167,39.31546944,36.61614722,36.384475,38.86278889,35.22922778,30.70193333,34.74216667,32.18255,28.93433333,30.53554444,31.039275,30.37500556
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.18,0.179,0.188,0.188,0.202,0.24,0.263,0.304,0.319,0.328,0.356,0.364,0.3675,0.3785,0.3785,0.3785,0.3785,0.3805,0.3805
Dominica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominica/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.07400000000000001,0.078,0.07100000000000001,0.076,0.07600000000000001,0.07919999999999999,0.0812,0.0823,0.0833,0.08940000000000001,0.0954,0.0984,0.09740000000000001,0.09739999999999999,0.0984,0.1034,0.1084,0.0834,0.0834
Dominican Rep.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominican-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","",8.067,9.733,11.816,12.543,11.188,11.98,13.06,13.65,11.676,11.558,13.943,14.882,15.751,16.727,16.282,16.917,17.671,18.045,17.633
Ecuador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/ecuador/flag-button-round-250.png,4.558,5.012,5.3839999999999995,5.641,5.769,6.3488546999999995,6.9744558,7.1960273,7.4113050000000005,8.1439969,8.428596800000001,9.6792006,10.3617494,10.890352499999999,10.30811927,10.61243912,11.04980115,11.88755825,11.54613178,12.58484425,13.40402257,15.11584967,17.33665515,18.60852582,18.26461525,19.50985383,20.54414253,22.84795784,23.26033004,24.30721334,25.95019213,27.313862,28.032909999999998,29.67155556
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,30.2535,32.461,35.6545,38.7125,40.6145,41.9525,43.276,44.986999999999995,46.736999999999995,48.55,50.652,53.57,56.784,60.696999999999996,65.7305,73.319,80.7125,86.236,92.1865,98.25231932,104.94731540000001,111.66104990000001,119.8669804,128.79240990000002,134.2672326,144.4317198,149.56286709999998,162.83109219999997,165.0638374,171.23427890000002,181.83642719999997,188.1910987,193.2111642,199.3987804
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,"","","","","","","","","","","","","","","",3.7260999999999997,3.7901000000000002,3.9731,4.2651,4.350099999999999,4.7131,5.5981000000000005,5.7241,5.8741,5.745100000000001,5.7551000000000005,5.8391,5.9681,6.022,5.976,5.753,5.769,5.291,5.197
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.083,0.053,0.107,0.12000000000000001,0.163,0.27,0.329,0.391,0.457,0.514,0.5760000000000001,0.65,0.891,1.4020000000000001,1.611,1.641,1.779,1.7249999999999999,1.7249999999999999
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.197,0.219,0.244,0.26,0.266,0.271,0.253,0.271,0.27,0.277,0.294,0.319,0.34,0.354,0.364,0.374,0.381,0.4,0.4
