country,category,url,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iran,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iran/flag-button-round-250.png,821,856,880,884,938,1022,1089,1142,1250,1336,1372,1440,1536,1600,1698,1818,1920,2054,2226,2360,2538,2741,2847,2918,3041,3195,3156,3293,3384,3558,3570,3596,3782,3799
Iraq,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iraq/flag-button-round-250.png,1348,1400,1384,1411,1403,1628,746,1190,1429,1364,1315,1250,1245,1209,1084,1157,1310,1420,1037,1166,1052,1114,1158,1243,1425,1402,1374,1497,1873,2068,2117,2357,2483,2688
Ireland,Europe,https://cdn.countryflags.com/thumbs/ireland/flag-button-round-250.png,3442,3598,3715,3766,3941,4130,4302,4532,4618,4789,4967,5292,5466,5736,5900,6339,6496,6448,6341,6307,6274,6500,6644,6852,6307,6299,5985,5990,5665,5688,6102,6477,6494,6406
Israel,Asia & the Pacific,https://cdn.countryflags.com/thumbs/israel/flag-button-round-250.png,3824,3909,4242,4562,4719,4698,4688,5193,5274,5545,5774,6004,6306,6663,6734,7224,7232,7363,7494,7577,7632,7755,8048,7952,7692,7961,7917,8268,7933,7804,8056,8293,8208,8308
Italy,Europe,https://cdn.countryflags.com/thumbs/italy/flag-button-round-250.png,3262,3375,3532,3570,3695,3801,3889,3959,3895,4051,4223,4284,4419,4577,4688,4879,4905,4973,5104,5234,5210,5365,5343,5416,4951,5091,5077,4998,4816,4632,4671,4776,4875,4793
Jamaica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/jamaica/flag-button-round-250.png,"","","","","","","","","","","","","","","",2343,2341,2422,2482,2493,2550,2555,2024,1436,1485,1451,1459,1330,1323,1356,1348,1419,1423,1417
Japan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/japan/flag-button-round-250.png,5513,5520,5842,6098,6446,7080,7294,7314,7367,7810,7999,8131,8313,8336,8475,8623,8480,8625,8532,8745,8985,9066,9184,9209,8665,8993,8592,8618,8477,8291,8048,8156,8236,8267
Jordan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/jordan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Kazakhstan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kazakhstan/flag-button-round-250.png,5187,5367,5517,5455,5491,5333,5251,5101,4813,4167,4213,3758,3375,3278,3148,3460,3714,3894,4229,4389,4409,4608,4879,5065,4907,5085,5250,5409,5439,5469,5215,5307,5704,5843
Kenya,Africa,https://cdn.countryflags.com/thumbs/kenya/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Kiribati,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kiribati/flag-button-round-250.png,"","","","","","","","","","","","","","","",154,127,149,179,211,232,238,230,217,212,230,235,233,229,229,252,265,263,258
Kuwait,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kuwait/flag-button-round-250.png,8885,9243,9330,9630,10074,8819,5307,8831,11380,13744,14772,15657,15628,16375,16176,15805,16309,17015,18409,18752,19266,20053,19470,19483,18864,19078,18136,18708,17295,17649,17803,17730,17971,17945
Kyrgyzstan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kyrgyzstan/flag-button-round-250.png,"","","","","","","","","","","","","","","",3192,2954,2572,3054,3182,2884,2785,2811,2205,2048,2200,2710,2662,2417,2457,2148,2147,2470,2437
Laos,Asia & the Pacific,https://cdn.countryflags.com/thumbs/laos/flag-button-round-250.png,"","","","","","","","","","","","","","","",615,609,584,507,529,610,615,566,615,548,1338,2022,2005,2348,2278,2378,3688,4009,3948
Latvia,Europe,https://cdn.countryflags.com/thumbs/latvia/flag-button-round-250.png,1922,1992,2259,1928,2177,2495,2130,1463,1519,1745,1586,1260,1836,2384,1706,1734,1814,1703,1723,2057,2178,2198,2170,2429,2596,3127,2910,2980,3036,2543,2769,3254,3860,3459
