country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",62212,61667,47348,51409,74741,57541,72361,66752,64077,22405,44160,46340,63092,57298,57571,62991,57341,73924,89124,99676,37414,121738,96703,101752,44781,56570,93467
Cuba,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/cuba/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,1422,1879,1905,3251,6502,7620,10160,8128,7620,7518,10668,9956,9448,7620,9144,10973,10465,7620,9347,9144,7620,8636,9000,9000,7000,6500,7000,7500,8200,8150,7700,12000,11000,7500,9300,10000,9500,11000,11500,11300,9300,10800,9500,10549,10781,10742,8594,6543,7274,6950,7121,6842,5313,4848,4880,4200,3792,3772
Czech Rep.,Europe,https://cdn.countryflags.com/thumbs/czech-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",308116,244098,225534,251436,291007,283148,264092,339431,221164,165974,140651,146894,134094,136385,115814,154063,141996,99801,84594,118709,121803,128292,155361,124997,105280,151528
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Denmark,Europe,https://cdn.countryflags.com/thumbs/denmark/flag-button-round-250.png,113295,108295,119798,122615,125400,111893,122336,122416,125816,120625,115457,93334,116332,104134,128328,102767,129643,120000,125000,115000,43296,59462,47159,54376,45105,40201,26492,45000,52000,70000,55000,83000,80000,37500,30000,18000,33000,29000,32000,25000,20000,18800,32100,35307,35307,31779,32000,28958,27513,24190,25735,18731,31184,35371,35647,36470,20496,32645
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Dominica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominica/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Dominican Rep.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominican-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ecuador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/ecuador/flag-button-round-250.png,2000,1920,2120,1893,1633,2796,3257,3064,4546,4752,5617,5571,3778,19021,22860,25342,27661,30521,30767,30899,33944,34644,35123,29437,29879,30723,32718,39154,31094,33224,15424,23365,30791,32922,20658,43433,24756,25080,12201,3873,12902,11177,11912,7915,16741,16850,17500,6687,8000,9073,9187,9129,8685,7572,7328,7013,6570,6970
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,3000,5000,5000,7000,6375,6145,5000,4000,4000,4000,7400,7000,8000,8000,8100,9631,9487,16852,17642,13505,23143,23000,26000,27000,29000,34000,31000,44000,45000,61719,64804,260797,354311,312514,437714,412321,403317,388461,415647,468269,473588,524948,533360,546183,578250,570330,557944,550743,508833,493119,455817,541239,629613,623625,695769,754846,716271,704727
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2500,5000,5000,10000,21000,23000,32000,34000,36539,34180,34906,35208,34765,34960
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
