country,category,url,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,0.043,"","","","","","","","","",0.041,"","","","",0.04,"","","","","","","","","",0.081,"","","","","","","",0.016,"","","",0.035,"","","","","",0.116,0.119,0.115,0.118,0.103,0.11,"",0.038,"","","","",0.107,""
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,"","","","","","","","","","",3.2,3.3,3.32,3.4,3.475,3.63,3.72,3.81,3.95,4.0,4.123,4.212,4.319,4.333,4.471,4.611,4.699,4.808,4.868,4.971,4.926,4.898,4.726,5.003,4.899,4.792,4.457,5.192,5.042,3.768,4.731,4.295,3.907,4.089,"","",4.65,4.538,4.663,4.794,4.289,4.377,4.406,4.477,4.776,"",""
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.8,2.8,2.9,3.0,3.1,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.369,"","",3.44,3.483,3.531,"",3.775,3.87,3.944,4.039,4.125,4.191,""
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,0.047,"","","","",0.073,"","","","",0.078,"","","","",0.078,"","","","","","","","",0.067,"","",0.049,"",0.043,"","","","","","",0.062,"","","","","",0.09,"",0.155,"","",0.074,0.112,0.086,0.096,"","","","","",""
Gibraltar,Europe,http://img.freeflagicons.com/thumb/round_icon/gibraltar/gibraltar_640.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Greece,Europe,https://cdn.countryflags.com/thumbs/greece/flag-button-round-250.png,1.3,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.9,2.0,2.0,2.1,2.2,2.3,2.3,2.4,2.5,2.6,2.8,2.9,2.9,3.1,3.3,3.2,3.3,3.4,3.6,3.7,3.8,3.8,3.9,3.9,4.0,4.1,4.2,4.3,4.38,"","","",5.0,5.35,"",6.043,"",6.197,6.226,6.23,6.231,6.255,"",""
Greenland,North America,https://image.flaticon.com/icons/svg/197/197453.svg,1.169,"","","","","","","","","",0.905,"","","","","","","","","",1.135,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Grenada,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/grenada/flag-button-round-250.png,0.222,"","","","","","","","","",0.346,"","","","","","","","","","","","","",0.49,"","","",0.553,"",0.5,"","",0.578,"",0.65,"",0.405,"",0.582,0.571,0.569,0.568,0.567,"","",0.668,"","","","","","","","","",""
Guatemala,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guatemala/flag-button-round-250.png,0.184,"","","","",0.271,"","","","",0.274,"","","","","","","","","","","","","",0.47,"","","",0.26,"",0.78,"","",0.25,"",1.1,"",0.933,"",0.873,"","","","","","","","","",0.897,"","","","","","",""
Guinea,Africa,https://cdn.countryflags.com/thumbs/guinea/flag-button-round-250.png,0.036,"","","","",0.022,"","","","",0.02,"","","","","","","","","","",0.022,0.022,"","",0.026,"","","","",0.134,"","","",0.152,0.13,"","","","",0.087,"","","",0.104,0.097,"","","","",0.1,"","","","","",0.075
Guinea-Bissau,Africa,https://cdn.countryflags.com/thumbs/guinea-bissau/flag-button-round-250.png,0.045,"","","","","","","","","",0.052,"","","","","","","","","",0.141,"","","","",0.144,"","","","","","","","",0.177,"",0.166,"","","","","","","",0.131,"","","",0.05,0.078,0.045,"","","","","",""
Guyana,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guyana/flag-button-round-250.png,0.255,"","","","","","","","","",0.235,"","","","",0.249,"","","","","","","","",0.165,0.168,"","","","",0.17,"","",0.112,"",0.33,"",0.181,"","",0.493,"","","","","","","","",0.214,0.214,"","","","","",""
Haiti,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/haiti/flag-button-round-250.png,0.105,"","","","",0.07,"","","","",0.08,"","","","",0.081,"","","","","",0.11,"","",0.141,0.137,"","",0.143,"",0.08,"",0.084,0.092,"",0.16,"","",0.236,"","","","","","","","","","","","","","","","","",""
Honduras,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/honduras/flag-button-round-250.png,0.081,"","","","",0.19,"","","","",0.269,"","","","",0.269,"","","",0.331,"",0.332,"","",0.691,"","","",0.829,"",0.7,0.411,"","","",0.65,"",0.832,"","",0.589,"","","","",0.39,"","","","","","","","","","",""
Hong Kong,Asia & the Pacific,https://image.flaticon.com/icons/svg/197/197570.svg,0.327,"","","","",0.396,"","","","",0.663,"","","","",0.672,"","","","",0.826,"","","","","",0.932,"","","","","","",1.204,1.271,1.319,"","","","","","","","","","","","","","","","","","","","",""
