Entity,Code,Date,Value
Europe,EUR,"Mar 9, 2020",399
Europe,EUR,"Mar 10, 2020",536
Europe,EUR,"Mar 11, 2020",716
Europe,EUR,"Mar 12, 2020",951
Europe,EUR,"Mar 13, 2020",1201
Europe,EUR,"Mar 14, 2020",1513
Europe,EUR,"Mar 15, 2020",1744
Europe,EUR,"Mar 16, 2020",2337
Europe,EUR,"Mar 17, 2020",2764
Europe,EUR,"Mar 18, 2020",3359
Europe,EUR,"Mar 19, 2020",4089
Europe,EUR,"Mar 20, 2020",4936
Europe,EUR,"Mar 21, 2020",5988
Europe,EUR,"Mar 22, 2020",7402
Europe,EUR,"Mar 23, 2020",8711
Europe,EUR,"Mar 24, 2020",10148
Europe,EUR,"Mar 25, 2020",11932
Europe,EUR,"Mar 26, 2020",13875
Europe,EUR,"Mar 27, 2020",16009
Europe,EUR,"Mar 28, 2020",18628
Europe,EUR,"Mar 29, 2020",21292
Europe,EUR,"Mar 30, 2020",23806
Europe,EUR,"Mar 31, 2020",26506
Europe,EUR,"Apr 1, 2020",29862
Europe,EUR,"Apr 2, 2020",33311
Europe,EUR,"Apr 3, 2020",36630
Europe,EUR,"Apr 4, 2020",41739
Europe,EUR,"Apr 5, 2020",45744
Europe,EUR,"Apr 6, 2020",48689
Europe,EUR,"Apr 7, 2020",51957
Europe,EUR,"Apr 8, 2020",56819
Europe,EUR,"Apr 9, 2020",60595
Europe,EUR,"Apr 10, 2020",65180
Europe,EUR,"Apr 11, 2020",69429
Europe,EUR,"Apr 12, 2020",72980
Europe,EUR,"Apr 13, 2020",76067
Europe,EUR,"Apr 14, 2020",79226
Europe,EUR,"Apr 15, 2020",83020
Europe,EUR,"Apr 16, 2020",87608
Europe,EUR,"Apr 17, 2020",91624
Europe,EUR,"Apr 18, 2020",95209
Europe,EUR,"Apr 19, 2020",98810
Europe,EUR,"Apr 20, 2020",101363
Europe,EUR,"Apr 21, 2020",103934
Europe,EUR,"Apr 22, 2020",107405
Europe,EUR,"Apr 23, 2020",110692
Europe,EUR,"Apr 24, 2020",113736
Europe,EUR,"Apr 25, 2020",116617
Europe,EUR,"Apr 26, 2020",119252
North America,NAM,"Dec 31, 2019",0
North America,NAM,"Jan 1, 2020",0
North America,NAM,"Jan 2, 2020",0
North America,NAM,"Jan 3, 2020",0
North America,NAM,"Jan 4, 2020",0
North America,NAM,"Jan 5, 2020",0
North America,NAM,"Jan 6, 2020",0
North America,NAM,"Jan 7, 2020",0
North America,NAM,"Jan 8, 2020",0
North America,NAM,"Jan 9, 2020",0
North America,NAM,"Jan 10, 2020",0
North America,NAM,"Jan 11, 2020",0
North America,NAM,"Jan 12, 2020",0
North America,NAM,"Jan 13, 2020",0
North America,NAM,"Jan 14, 2020",0
North America,NAM,"Jan 15, 2020",0
North America,NAM,"Jan 16, 2020",0
North America,NAM,"Jan 17, 2020",0
North America,NAM,"Jan 18, 2020",0
North America,NAM,"Jan 19, 2020",0
North America,NAM,"Jan 20, 2020",0
North America,NAM,"Jan 21, 2020",0
North America,NAM,"Jan 22, 2020",0
North America,NAM,"Jan 23, 2020",0
North America,NAM,"Jan 24, 2020",0
North America,NAM,"Jan 25, 2020",0
North America,NAM,"Jan 26, 2020",0
North America,NAM,"Jan 27, 2020",0
North America,NAM,"Jan 28, 2020",0
North America,NAM,"Jan 29, 2020",0
North America,NAM,"Jan 30, 2020",0
North America,NAM,"Jan 31, 2020",0
North America,NAM,"Feb 1, 2020",0
North America,NAM,"Feb 2, 2020",0
North America,NAM,"Feb 3, 2020",0
North America,NAM,"Feb 4, 2020",0
North America,NAM,"Feb 5, 2020",0
North America,NAM,"Feb 6, 2020",0
North America,NAM,"Feb 7, 2020",0
North America,NAM,"Feb 8, 2020",0
North America,NAM,"Feb 9, 2020",0
North America,NAM,"Feb 10, 2020",0
North America,NAM,"Feb 11, 2020",0
North America,NAM,"Feb 12, 2020",0
North America,NAM,"Feb 13, 2020",0
North America,NAM,"Feb 14, 2020",0
North America,NAM,"Feb 15, 2020",0
North America,NAM,"Feb 16, 2020",0
North America,NAM,"Feb 17, 2020",0
North America,NAM,"Feb 18, 2020",0
North America,NAM,"Feb 19, 2020",0
North America,NAM,"Feb 20, 2020",0
North America,NAM,"Feb 21, 2020",0
North America,NAM,"Feb 22, 2020",0
North America,NAM,"Feb 23, 2020",0
North America,NAM,"Feb 24, 2020",0
North America,NAM,"Feb 25, 2020",0
North America,NAM,"Feb 26, 2020",0
North America,NAM,"Feb 27, 2020",0
North America,NAM,"Feb 28, 2020",0
North America,NAM,"Feb 29, 2020",0
North America,NAM,"Mar 1, 2020",1
North America,NAM,"Mar 2, 2020",2
North America,NAM,"Mar 3, 2020",6
North America,NAM,"Mar 4, 2020",9
North America,NAM,"Mar 5, 2020",11
North America,NAM,"Mar 6, 2020",12
North America,NAM,"Mar 7, 2020",14
North America,NAM,"Mar 8, 2020",17
North America,NAM,"Mar 9, 2020",21
North America,NAM,"Mar 10, 2020",27
North America,NAM,"Mar 11, 2020",30
North America,NAM,"Mar 12, 2020",32
North America,NAM,"Mar 13, 2020",42
North America,NAM,"Mar 14, 2020",49
North America,NAM,"Mar 15, 2020",59
North America,NAM,"Mar 16, 2020",72
North America,NAM,"Mar 17, 2020",91
North America,NAM,"Mar 18, 2020",118
North America,NAM,"Mar 19, 2020",163
North America,NAM,"Mar 20, 2020",164
North America,NAM,"Mar 21, 2020",282
North America,NAM,"Mar 22, 2020",371
North America,NAM,"Mar 23, 2020",504
North America,NAM,"Mar 24, 2020",632
North America,NAM,"Mar 25, 2020",851
North America,NAM,"Mar 26, 2020",1114
North America,NAM,"Mar 27, 2020",1372
North America,NAM,"Mar 28, 2020",1820
North America,NAM,"Mar 29, 2020",2329
North America,NAM,"Mar 30, 2020",2674
North America,NAM,"Mar 31, 2020",3382
North America,NAM,"Apr 1, 2020",4320
North America,NAM,"Apr 2, 2020",5422
North America,NAM,"Apr 3, 2020",6391
North America,NAM,"Apr 4, 2020",7572
North America,NAM,"Apr 5, 2020",9005
North America,NAM,"Apr 6, 2020",10241
North America,NAM,"Apr 7, 2020",11670
North America,NAM,"Apr 8, 2020",13675
North America,NAM,"Apr 9, 2020",15706
North America,NAM,"Apr 10, 2020",17705
North America,NAM,"Apr 11, 2020",19917
North America,NAM,"Apr 12, 2020",21891
North America,NAM,"Apr 13, 2020",23531
North America,NAM,"Apr 14, 2020",25187
North America,NAM,"Apr 15, 2020",27807
North America,NAM,"Apr 16, 2020",32914
North America,NAM,"Apr 17, 2020",35463
North America,NAM,"Apr 18, 2020",39434
North America,NAM,"Apr 19, 2020",41577
North America,NAM,"Apr 20, 2020",43519
North America,NAM,"Apr 21, 2020",45539
North America,NAM,"Apr 22, 2020",48371
North America,NAM,"Apr 23, 2020",50373
North America,NAM,"Apr 24, 2020",53842
North America,NAM,"Apr 25, 2020",55222
North America,NAM,"Apr 26, 2020",57670
Oceania,OCE,"Dec 31, 2019",0
Oceania,OCE,"Jan 1, 2020",0
Oceania,OCE,"Jan 2, 2020",0
Oceania,OCE,"Jan 3, 2020",0
Oceania,OCE,"Jan 4, 2020",0
Oceania,OCE,"Jan 5, 2020",0
Oceania,OCE,"Jan 6, 2020",0
Oceania,OCE,"Jan 7, 2020",0
Oceania,OCE,"Jan 8, 2020",0
Oceania,OCE,"Jan 9, 2020",0
Oceania,OCE,"Jan 10, 2020",0
Oceania,OCE,"Jan 11, 2020",0
Oceania,OCE,"Jan 12, 2020",0
Oceania,OCE,"Jan 13, 2020",0
Oceania,OCE,"Jan 14, 2020",0
Oceania,OCE,"Jan 15, 2020",0
Oceania,OCE,"Jan 16, 2020",0
Oceania,OCE,"Jan 17, 2020",0
Oceania,OCE,"Jan 18, 2020",0
Oceania,OCE,"Jan 19, 2020",0
Oceania,OCE,"Jan 20, 2020",0
Oceania,OCE,"Jan 21, 2020",0
Oceania,OCE,"Jan 22, 2020",0
Oceania,OCE,"Jan 23, 2020",0
Oceania,OCE,"Jan 24, 2020",0
Oceania,OCE,"Jan 25, 2020",0
Oceania,OCE,"Jan 26, 2020",0
Oceania,OCE,"Jan 27, 2020",0
Oceania,OCE,"Jan 28, 2020",0
Oceania,OCE,"Jan 29, 2020",0
Oceania,OCE,"Jan 30, 2020",0
Oceania,OCE,"Jan 31, 2020",0
Oceania,OCE,"Feb 1, 2020",0
Oceania,OCE,"Feb 2, 2020",0
Oceania,OCE,"Feb 3, 2020",0
Oceania,OCE,"Feb 4, 2020",0
Oceania,OCE,"Feb 5, 2020",0
Oceania,OCE,"Feb 6, 2020",0
Oceania,OCE,"Feb 7, 2020",0
Oceania,OCE,"Feb 8, 2020",0
Oceania,OCE,"Feb 9, 2020",0
Oceania,OCE,"Feb 10, 2020",0
Oceania,OCE,"Feb 11, 2020",0
Oceania,OCE,"Feb 12, 2020",0
Oceania,OCE,"Feb 13, 2020",0
Oceania,OCE,"Feb 14, 2020",0
Oceania,OCE,"Feb 15, 2020",0
Oceania,OCE,"Feb 16, 2020",0
Oceania,OCE,"Feb 17, 2020",0
Oceania,OCE,"Feb 18, 2020",0
Oceania,OCE,"Feb 19, 2020",0
Oceania,OCE,"Feb 20, 2020",0
Oceania,OCE,"Feb 21, 2020",0
Oceania,OCE,"Feb 22, 2020",0
Oceania,OCE,"Feb 23, 2020",0
Oceania,OCE,"Feb 24, 2020",0
Oceania,OCE,"Feb 25, 2020",0
Oceania,OCE,"Feb 26, 2020",0
Oceania,OCE,"Feb 27, 2020",0
Oceania,OCE,"Feb 28, 2020",0
Oceania,OCE,"Feb 29, 2020",0
Oceania,OCE,"Mar 1, 2020",1
Oceania,OCE,"Mar 2, 2020",1
Oceania,OCE,"Mar 3, 2020",1
Oceania,OCE,"Mar 4, 2020",1
Oceania,OCE,"Mar 5, 2020",2
Oceania,OCE,"Mar 6, 2020",2
Oceania,OCE,"Mar 7, 2020",2
Oceania,OCE,"Mar 8, 2020",3
Oceania,OCE,"Mar 9, 2020",3
Oceania,OCE,"Mar 10, 2020",3
Oceania,OCE,"Mar 11, 2020",3
Oceania,OCE,"Mar 12, 2020",3
Oceania,OCE,"Mar 13, 2020",3
Oceania,OCE,"Mar 14, 2020",3
Oceania,OCE,"Mar 15, 2020",3
Oceania,OCE,"Mar 16, 2020",5
Oceania,OCE,"Mar 17, 2020",5
Oceania,OCE,"Mar 18, 2020",5
Oceania,OCE,"Mar 19, 2020",6
Oceania,OCE,"Mar 20, 2020",6
Oceania,OCE,"Mar 21, 2020",7
Oceania,OCE,"Mar 22, 2020",8
Oceania,OCE,"Mar 23, 2020",8
Oceania,OCE,"Mar 24, 2020",8
Oceania,OCE,"Mar 25, 2020",9
Oceania,OCE,"Mar 26, 2020",12
Oceania,OCE,"Mar 27, 2020",14
Oceania,OCE,"Mar 28, 2020",14
Oceania,OCE,"Mar 29, 2020",16
Oceania,OCE,"Mar 30, 2020",18
Oceania,OCE,"Mar 31, 2020",21
Oceania,OCE,"Apr 1, 2020",24
Oceania,OCE,"Apr 2, 2020",26
Oceania,OCE,"Apr 3, 2020",28
Oceania,OCE,"Apr 4, 2020",36
Oceania,OCE,"Apr 5, 2020",40
Oceania,OCE,"Apr 6, 2020",42
Oceania,OCE,"Apr 7, 2020",48
Oceania,OCE,"Apr 8, 2020",52
Oceania,OCE,"Apr 9, 2020",57
Oceania,OCE,"Apr 10, 2020",60
Oceania,OCE,"Apr 11, 2020",64
Oceania,OCE,"Apr 12, 2020",68
Oceania,OCE,"Apr 13, 2020",73
Oceania,OCE,"Apr 14, 2020",77
Oceania,OCE,"Apr 15, 2020",77
Oceania,OCE,"Apr 16, 2020",79
Oceania,OCE,"Apr 17, 2020",81
Oceania,OCE,"Apr 18, 2020",85
Oceania,OCE,"Apr 19, 2020",88
Oceania,OCE,"Apr 20, 2020",89
Oceania,OCE,"Apr 21, 2020",91
Oceania,OCE,"Apr 22, 2020",95
Oceania,OCE,"Apr 23, 2020",97
Oceania,OCE,"Apr 24, 2020",99
Oceania,OCE,"Apr 25, 2020",104
Oceania,OCE,"Apr 26, 2020",106
South America,SAM,"Dec 31, 2019",0
