country,url,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Czech Republic,https://dynamospanish.com/wp-content/uploads/flags/images/Czech_Republic/2/large/Czech_Republic.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,18,42,67,83,94,105,114,120,127,132,124,122,124,127,129,131,117,117,118
Democratic Republic of Congo,https://dynamospanish.com/wp-content/uploads/flags/images/Democratic_Republic_of_the_Congo/2/large/Democratic_Republic_of_the_Congo.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,11,16,15,18,23,29,39,50,49,36,43
Denmark,https://dynamospanish.com/wp-content/uploads/flags/images/Denmark/2/large/Denmark.png,0,0,0,0,0,0,1,1,1,2,2,3,4,6,9,15,25,27,36,49,62,73,83,88,95,100,107,115,119,123,115,128,129,124,126,124,122,121
Djibouti,https://dynamospanish.com/wp-content/uploads/flags/images/Djibouti/2/large/Djibouti.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,5,8,13,15,19,22,24,27,31,33,36,38
Dominica,https://dynamospanish.com/wp-content/uploads/flags/images/Dominica/2/large/Dominica.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,17,33,59,73,100,125,128,138,147,151,151,129,101,105,106,0
Dominican Republic,https://dynamospanish.com/wp-content/uploads/flags/images/Dominican_Republic/2/large/Dominican_Republic.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,8,14,19,23,27,39,49,58,74,88,89,87,87,89,79,83,81,81
Ecuador,https://dynamospanish.com/wp-content/uploads/flags/images/Ecuador/2/large/Ecuador.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,6,11,18,26,45,60,69,80,90,98,101,106,106,104,80,84,83
Egypt,https://dynamospanish.com/wp-content/uploads/flags/images/Egypt/2/large/Egypt.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,7,10,17,23,37,51,67,84,97,110,111,103,100,102,105
El Salvador,https://dynamospanish.com/wp-content/uploads/flags/images/El_Salvador/2/large/El_Salvador.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,12,14,14,19,30,40,63,100,113,123,124,134,139,143,146,147,151,156
Equatorial Guinea,https://dynamospanish.com/wp-content/uploads/flags/images/Equatorial_Guinea/2/large/Equatorial_Guinea.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,8,12,15,18,20,21,41,48,48,47,45,45,47,0
Eritrea,https://dynamospanish.com/wp-content/uploads/flags/images/Eritrea/2/large/Eritrea.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,7,8,9,10,0
Estonia,https://dynamospanish.com/wp-content/uploads/flags/images/Estonia/2/large/Estonia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10,17,27,39,46,63,76,92,106,122,125,121,117,124,135,150,145,143,144,144,145
Ethiopia,https://dynamospanish.com/wp-content/uploads/flags/images/Ethiopia/2/large/Ethiopia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,7,15,22,27,31,42,50,59
Fiji,https://dynamospanish.com/wp-content/uploads/flags/images/Fiji/2/large/Fiji.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9,11,13,17,24,34,63,71,75,81,83,98,105,98,108,116,114
Finland,https://dynamospanish.com/wp-content/uploads/flags/images/Finland/2/large/Finland.png,0,0,0,0,1,1,1,2,2,3,5,6,7,9,13,20,29,41,55,63,71,80,86,90,95,100,107,114,128,144,156,165,172,136,139,134,133,132
France,https://dynamospanish.com/wp-content/uploads/flags/images/France/2/large/France.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,9,18,36,48,61,64,68,73,78,83,89,93,92,91,94,97,99,101,103,104,106
Gabon,https://dynamospanish.com/wp-content/uploads/flags/images/Gabon/2/large/Gabon.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,21,22,35,52,62,78,84,91,98,139,145,151,156,146,149,131
Gambia,https://dynamospanish.com/wp-content/uploads/flags/images/Gambia/2/large/Gambia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,12,17,27,52,73,80,87,80,84,99,119,137,139,0
Georgia,https://dynamospanish.com/wp-content/uploads/flags/images/Georgia/2/large/Georgia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,10,15,18,26,38,59,63,66,94,106,114,123,135,140,140,146
Germany,https://dynamospanish.com/wp-content/uploads/flags/images/Germany/2/large/Germany.png,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,10,17,28,59,68,72,79,87,97,105,118,130,129,109,112,113,123,122,117,126,129
