country,category,url,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Dominica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominica/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Dominican Rep.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominican-republic/flag-button-round-250.png,9654126,10358516,11224803,11992169,12722668,15475689,17039570,18255394,20712607,24149674,25804462,26535285,23960340,21532696,18519484,20112957,20873531,23463418,24348151,22592929,23719452,24100480,25196168,23264793,23700069,25216880,25887151,25651634
Ecuador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/ecuador/flag-button-round-250.png,17115659,16532836,21012407,22562778,14454563,21356932,22129818,18871052,24130429,22180857,21409162,25875859,29920514,29705267,30971303,32329461,32599395,36766750,38432119,39846711,42436289,43645015,41056430,48636968,52588494,49774039,47384724,46809143
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,84439545,88109663,87152030,98127360,93744374,104718409,103122976,117203844,133689641,139147901,149323672,133395508,135189020,149474156,146051165,168776566,173322138,179137773,189459685,201401664,200332093,210803383,219627920,210891086,226716776,223823207,241474993,227347129
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,3780961,4483413,4734459,5307965,5952614,6523942,6073491,7389917,8410548,7874206,7904069,8828702,9139367,9186833,8904359,8715617,8992843,9076084,8949449,8081676,8274062,8772021,8741294,8544795,8697631,9078039,9295560,9303003
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,31784162,32513084,20579070,16587544,16962312,16261779,17468536,17031010,19299328,18780783,17370522,17315807,18523437,20604732,18167583,18490629,19189030,20581601,17027997,14867468,17481818,18776387,17804685,18258604,17819784,16378302,17291452,18260846
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,3727510,3763934,3774657,3910709,3219804,3607443,3940835,4370528,5269179,5182617,4952093,5890030,5815573,6615975,6443372,7342127,8053784,8225053,9370118,10959369,9637976,10229491,13827310,16180556,18195552,19017540,20135038,21098172
Fiji,Asia & the Pacific,https://cdn.countryflags.com/thumbs/fiji/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Finland,Europe,https://cdn.countryflags.com/thumbs/finland/flag-button-round-250.png,69002278,77108922,70172340,70993946,75258929,74608104,78132400,78169077,73549777,71842724,70757756,76477989,77111065,86764989,89557757,79952863,92718844,93447322,83071465,73189208,83545810,75611040,72266411,69583353,67150401,65414863,67723960,66659848
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,485542479,521143369,502505688,489522885,491830679,506200725,515968416,505456363,529716976,521835205,522948104,521691282,522803211,524266056,548172669,542876662,531391307,550041538,537393831,516474416,514336067,530711163,478644183,473224830,449198458,450876909,450544636,458753586
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,16927512,15204253,9426590,8037135,4869958,2193742,9051637,7052301,7587314,5781229,5407728,5163446,4781310,5441721,6414600,7359415,8639124,9410390,8896937,7754611,8129223,9147993,10216644,10245155,10897858,11242825,11481676,11348072
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,1160801383,1149480278,1100834873,1105492822,1102003379,1119118974,1111430910,1075885420,1081634927,1057293431,1056414514,1059050601,1033444615,1061504920,1062089579,1040307435,1066887422,1013943175,1002113333,934222424,977716794,972375862,924186694,923235711,891716226,886600972,890575652,894835444
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,4679460,5135838,4652032,5306919,6138645,6253959,7349088,8727200,8842309,9350505,8698069,9832580,10059283,10864774,12138704,12417139,14091142,15058828,14885751,13262187,14805695,18484907,22616864,21182516,22394197,22812501,22338763,23340739
Gibraltar,Europe,http://img.freeflagicons.com/thumb/round_icon/gibraltar/gibraltar_640.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Greece,Europe,https://cdn.countryflags.com/thumbs/greece/flag-button-round-250.png,96523590,97012196,95043919,95387566,97763652,100546467,99364155,100971228,109770657,103868252,109563267,111573950,114062808,98941343,95512029,96491176,100491903,98481071,98895774,110855902,97561832,87318020,82186147,72181177,68417999,65409261,64107419,65766399
