country,category,url,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,6.328075354,8.067742302,5.717902242,4.079334535,4.904383022,4.888575354,4.951197014,6.390946794,4.864296854,3.249928713,4.319224614,4.332478871,4.58980507,5.438233434,6.817584532,7.399238819,8.175766225,10.035464554,9.705650812,11.744839316,13.110050009,11.273328689,11.204767871,5.365750345,3.802423708,3.812189298
Gibraltar,Europe,http://img.freeflagicons.com/thumb/round_icon/gibraltar/gibraltar_640.png,"","","","","","","","","","","","","","","","","","","","","","","","","",""
Greece,Europe,https://cdn.countryflags.com/thumbs/greece/flag-button-round-250.png,14.383324053,14.17842761,12.029407312,14.067133787,14.500043565,14.576056479,13.02847175,12.557337594,12.304956885,10.942692702,10.929398278,12.388979172,14.49069889,15.9060364,17.260724707,16.216540217,18.139931683,20.421116908,19.496904711,19.393357808,20.042591587,18.745366877,16.226709243,18.063500173,14.017865508,15.218554519
Greenland,North America,https://image.flaticon.com/icons/svg/197/197453.svg,"","","","","","","","","","","","","","","","","","","","","","","","","",""
Grenada,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/grenada/flag-button-round-250.png,"","",0.00356449,0.003685148,0.003885741,0.003861297,0.003990155,0.003882315,"","","","","","","","","","","",0.042792445,0.044095185,0.044364046,0.044231124,0.056073871,0.060358425,0.067489714
Guatemala,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guatemala/flag-button-round-250.png,0.323910147,0.362334876,0.384731568,0.382414457,0.08562324,0.339598599,0.31004193,0.313588929,"","","","","","","","","","","","","","","","","",""
Guinea,Africa,https://cdn.countryflags.com/thumbs/guinea/flag-button-round-250.png,1.937511831,1.666894791,1.675321135,1.929331772,1.987393103,1.95166376,1.95636407,1.976840404,2.00112807,1.655800116,1.395288989,1.63082156,1.83987552,1.514875812,1.13388909,1.016630408,1.833917788,1.755183746,1.798139662,1.473357358,1.213682913,1.344782614,1.525557732,1.452679535,1.471133084,1.185964064
Guinea-Bissau,Africa,https://cdn.countryflags.com/thumbs/guinea-bissau/flag-button-round-250.png,"","","","","","","",0.5178578220000001,0.466988488,0.401908673,0.36925587,0.435358342,0.561608821,0.694635787,0.754764503,0.765107478,1.014299533,1.375033647,1.15476558,1.096880683,1.321756423,1.573475121,1.523959603,1.419933878,1.203927204,1.361636859
Guyana,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guyana/flag-button-round-250.png,0.009489873,0.012303361,0.014554427,0.009494293,0.012976833,0.018477763,0.022521911,0.024049934,0.016496742999999998,0.013788328,0.012718938,0.010412147,0.0107452,0.01007636,0.01073716,0.010143995,0.062454067,0.073737867,0.093207277,0.107832551,0.095398474,0.132448447,0.156549947,0.206216254,0.377857483,0.332230581
Haiti,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/haiti/flag-button-round-250.png,0.098886894,0.076900032,0.08093941,0.101005483,0.093395106,0.085260947,0.090399441,0.084571619,"","","","","","","","","","","","","","","","","",""
