country,category,url,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30,May 01,May 02
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.257,0.514,0.6,0.685,0.771,0.857,0.857,0.942,1.199,1.285,1.542,1.628,1.713,2.056,2.313,2.399,2.399,2.484,2.656,2.656,2.741,2.827,2.913,3.17,3.427,3.684,3.769,3.941,4.283,4.54,4.712,5.054,5.311,5.654
Bosnia & Herzegovina,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","",0.305,0.305,0.305,0.61,0.914,0.914,0.914,1.524,1.829,2.438,3.658,3.962,5.182,5.486,6.401,7.315,8.534,9.754,10.668,10.973,11.278,11.278,11.582,11.582,11.887,12.192,12.497,13.411,13.716,14.021,14.631,15.24,15.85,16.155,16.459,17.069,17.679,18.288,18.898,18.898,19.507,21.336
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,"","","","","","","","","","","","","","","","","",0.005,0.019,0.028,0.052,0.085,0.118,0.16,0.216,0.268,0.362,0.433,0.536,0.64,0.748,0.946,1.134,1.407,1.689,2.032,2.286,2.602,3.138,3.764,4.427,4.968,5.288,5.754,6.248,7.207,8.167,9.052,10.072,11.042,11.583,12.114,12.895,13.671,15.586,17.266,18.894,19.783,21.373,23.603,25.715,27.762,29.775
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,"","","","","","","","","","","",0.144,0.144,0.144,0.288,0.288,0.288,0.288,0.288,0.432,0.432,0.432,0.432,0.432,0.432,0.432,0.432,0.432,1.007,1.151,1.151,1.151,1.439,1.439,2.015,2.447,2.878,3.166,3.31,3.454,3.454,3.598,4.03,4.174,4.605,5.037,5.181,5.469,5.901,5.901,6.188,6.188,6.476,7.052,7.484,7.772,7.915,8.059,8.347,8.347,9.211,9.499,9.93
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","",0.048,0.048,0.048,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.431,0.431,0.574,0.574,0.67,0.765,0.765,0.765,0.813,0.813,0.909,1.1,1.148,1.244,1.292,1.292,1.34,1.435,1.531,1.531,1.674,1.722,1.722,1.818,1.818,1.866,1.961,1.961,1.961,2.009,2.009,2.009,2.057,2.057,2.105
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","",0.038,0.038,0.038,0.038,0.075,0.075,0.075,0.226,0.226,0.264,0.301,0.339,0.339,0.339,0.339,0.377,0.377,0.377,0.414,0.452,0.452,0.64,0.64,0.791,0.791,0.791,1.582,1.582,1.582,1.62,1.846,1.846,1.997,2.11,2.185,2.223,2.298,2.298,2.298
