rank,name,games,minutes,points,field_goals_made,field_goals_attempted,field_goal_pct,3_point_field_goals_made,3_point_field_goals_attempted,3_point_field_goals_pct,free_throws_made,free_throws_attempted,free_throw_pct,off_rebounds,def_rebounds,rebounds,assists,steals,blocks,turnovers,effective_field_goal_pct,true_shooting_pct
1,Kareem Abdul-Jabbar,"1,560",57446,38387,15837,28307,55.9,1,18,5.6,6712,9304,72.1,2975,9394,17440,5660,1160,3189,2527,55.9,59.2
2,Karl Malone,"1,476",54852,36928,13528,26210,51.6,85,310,27.4,9787,13188,74.2,3562,11406,14968,5248,2085,1145,4524,51.8,57.7
3,LeBron James,"1,250",48048,33849,12336,24493,50.4,1837,5348,34.3,7340,9988,73.5,1494,7788,9282,9220,2003,945,4370,54.1,58.6
4,Kobe Bryant,"1,346",48643,33643,11719,26200,44.7,1827,5546,32.9,8378,10011,83.7,1499,5548,7047,6306,1944,640,4010,48.2,55
5,Michael Jordan,"1,072",41010,32292,12192,24537,49.7,581,1778,32.7,7327,8772,83.5,1668,5004,6672,5633,2514,893,2924,50.9,56.9
6,Dirk Nowitzki,"1,522",51367,31560,11169,23734,47.1,1982,5210,38,7240,8239,87.9,1468,10021,11489,3651,1210,1281,2494,51.2,57.7
7,Wilt Chamberlain,"1,045",47859,31419,12681,23497,54,-,-,-,6057,11862,51.1,-,-,23924,4643,-,-,-,54,54.7
8,Shaquille O'Neal,"1,207",41917,28596,11330,19457,58.2,1,22,4.5,5935,11252,52.7,4209,8890,13099,3026,739,2732,3310,58.2,58.6
9,Moses Malone,"1,329",45071,27409,9435,19225,49.1,8,80,10,8531,11090,76.9,6731,9481,16212,1796,1089,1733,3804,49.1,56.9
10,Elvin Hayes,"1,303",50000,27313,10976,24272,45.2,5,34,14.7,5356,7999,67,2778,6973,16279,2398,864,1771,1358,45.2,49.1
11,Hakeem Olajuwon,"1,238",44218,26946,10749,20991,51.2,25,124,20.2,5423,7621,71.2,4034,9714,13748,3058,2162,3830,3667,51.3,55.3
