country,url,category,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Croatia,https://dynamospanish.com/wp-content/uploads/flags/images/Croatia/2/large/Croatia.png,Europe,0,2312000,2240000,2368000,2546000,2552000,2529000,2517000,2543000,2556000,2738000,2820000,2868000,2943000,2980000,3070000,3077000,3109000,3058000,2971000,2997000,2995000,3059000
Cuba,https://dynamospanish.com/wp-content/uploads/flags/images/Cuba/2/large/Cuba.png,Latin America & the Caribbean,2736000,2503000,2321000,2361000,2325000,2447000,2563000,2651000,2898000,3031000,3076000,3154000,3246000,3346000,3254000,3260000,3251000,3120000,3233000,3160000,3285000,3346000,3409000
Cyprus,https://dynamospanish.com/wp-content/uploads/flags/images/Cyprus/2/large/Cyprus.png,Asia & the Pacific,2745000,2787000,2799000,2812000,2823000,2724000,2721000,2727000,2709000,2676000,2648000,2638000,2611000,2601000,2565000,2559000,2639000,2657000,2630000,2671000,2683000,2640000,2649000
Czech Republic,https://dynamospanish.com/wp-content/uploads/flags/images/Czech_Republic/2/large/Czech_Republic.png,Europe,0,0,3037000,2978000,3209000,3319000,3236000,3269000,3118000,3079000,3170000,3243000,3319000,3322000,3318000,3279000,3261000,3268000,3276000,3276000,3251000,3243000,3256000
DR Congo,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/227px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,https://dynamospanish.com/wp-content/uploads/flags/images/Denmark/2/large/Denmark.png,Europe,3227000,3338000,3339000,3315000,3395000,3294000,3365000,3395000,3332000,3313000,3335000,3373000,3343000,3382000,3414000,3407000,3445000,3326000,3340000,3398000,3348000,3331000,3367000
Djibouti,https://dynamospanish.com/wp-content/uploads/flags/images/Djibouti/2/large/Djibouti.png,Africa,1507000,1506000,1574000,1596000,1707000,1691000,1757000,1855000,1901000,1993000,1982000,2054000,2094000,2136000,2265000,2314000,2414000,2447000,2466000,2467000,2504000,2545000,2607000
Dominica,https://dynamospanish.com/wp-content/uploads/flags/images/Dominica/2/large/Dominica.png,Latin America & the Caribbean,2904000,2872000,2856000,2872000,2943000,2897000,2930000,2913000,2928000,3063000,3040000,2984000,3006000,2957000,2924000,2917000,3042000,3021000,3037000,2985000,2962000,2949000,2931000
Dominican Republic,https://dynamospanish.com/wp-content/uploads/flags/images/Dominican_Republic/2/large/Dominican_Republic.png,Latin America & the Caribbean,2142000,2141000,2220000,2252000,2256000,2175000,2153000,2141000,2149000,2224000,2258000,2285000,2143000,2216000,2328000,2367000,2403000,2352000,2392000,2532000,2562000,2573000,2614000
Ecuador,https://dynamospanish.com/wp-content/uploads/flags/images/Ecuador/2/large/Ecuador.png,Latin America & the Caribbean,2194000,2321000,2321000,2408000,2310000,2299000,2331000,2250000,2330000,2285000,2217000,2238000,2202000,2226000,2248000,2229000,2213000,2297000,2290000,2348000,2376000,2347000,2344000
Egypt,https://dynamospanish.com/wp-content/uploads/flags/images/Egypt/2/large/Egypt.png,Africa,3171000,3175000,3197000,3259000,3315000,3332000,3361000,3339000,3356000,3368000,3409000,3434000,3379000,3309000,3367000,3389000,3445000,3490000,3441000,3507000,3549000,3561000,3522000
El Salvador,https://dynamospanish.com/wp-content/uploads/flags/images/El_Salvador/2/large/El_Salvador.png,Latin America & the Caribbean,2406000,2410000,2384000,2379000,2392000,2404000,2428000,2432000,2411000,2541000,2628000,2643000,2597000,2567000,2571000,2577000,2566000,2574000,2574000,2515000,2537000,2559000,2577000
Equatorial Guinea,https://dynamospanish.com/wp-content/uploads/flags/images/Equatorial_Guinea/2/large/Equatorial_Guinea.png,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,https://dynamospanish.com/wp-content/uploads/flags/images/Eritrea/2/large/Eritrea.png,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,https://dynamospanish.com/wp-content/uploads/flags/images/Estonia/2/large/Estonia.png,Europe,3032000,2516000,2576000,2694000,2923000,3061000,3013000,2962000,3110000,3050000,3046000,3043000,3074000,3080000,3167000,3203000,3222000,3313000,3348000,3310000,3289000,3232000,3253000
Ethiopia,https://dynamospanish.com/wp-content/uploads/flags/images/Ethiopia/2/large/Ethiopia.png,Africa,1586000,1557000,1508000,1545000,1571000,1655000,1684000,1684000,1727000,1786000,1829000,1844000,1884000,1882000,1978000,1967000,1957000,2018000,2052000,2080000,2103000,2124000,2131000
Fiji,https://dynamospanish.com/wp-content/uploads/flags/images/Fiji/2/large/Fiji.png,Asia & the Pacific,2722000,2739000,2854000,2796000,2742000,2824000,2845000,2830000,2835000,2830000,2876000,2902000,2892000,2901000,2941000,2949000,2924000,2948000,2916000,2914000,2923000,2931000,2943000
Finland,https://dynamospanish.com/wp-content/uploads/flags/images/Finland/2/large/Finland.png,Europe,3107000,3190000,3038000,2989000,3031000,3017000,3150000,3177000,3173000,3151000,3171000,3152000,3154000,3188000,3201000,3237000,3281000,3236000,3233000,3280000,3305000,3323000,3368000
France,https://dynamospanish.com/wp-content/uploads/flags/images/France/2/large/France.png,Europe,3541000,3549000,3543000,3512000,3534000,3519000,3547000,3593000,3604000,3605000,3640000,3656000,3587000,3555000,3538000,3513000,3466000,3551000,3530000,3536000,3514000,3460000,3482000
Gabon,https://dynamospanish.com/wp-content/uploads/flags/images/Gabon/2/large/Gabon.png,Africa,2558000,2499000,2536000,2463000,2547000,2634000,2626000,2659000,2711000,2716000,2695000,2644000,2661000,2676000,2715000,2716000,2711000,2653000,2699000,2732000,2772000,2795000,2830000
Gambia,https://dynamospanish.com/wp-content/uploads/flags/images/Gambia/2/large/Gambia.png,Africa,2546000,2498000,2467000,2380000,2393000,2391000,2476000,2357000,2512000,2590000,2521000,2455000,2455000,2465000,2442000,2397000,2535000,2589000,2621000,2674000,2692000,2652000,2628000
Georgia,https://dynamospanish.com/wp-content/uploads/flags/images/Georgia/2/large/Georgia.png,Europe,3032000,1928000,1914000,1957000,2388000,2544000,2648000,2606000,2607000,2566000,2638000,2750000,2864000,2902000,2983000,2864000,2900000,2975000,2947000,2845000,2805000,2839000,2905000
Germany,https://dynamospanish.com/wp-content/uploads/flags/images/Germany/2/large/Germany.png,Europe,3323000,3392000,3202000,3213000,3249000,3297000,3176000,3285000,3279000,3336000,3363000,3427000,3390000,3411000,3450000,3466000,3527000,3517000,3515000,3504000,3538000,3501000,3499000
Ghana,https://dynamospanish.com/wp-content/uploads/flags/images/Ghana/2/large/Ghana.png,Africa,2090000,2118000,2279000,2312000,2351000,2377000,2395000,2427000,2465000,2510000,2564000,2655000,2669000,2682000,2751000,2824000,2803000,2950000,3032000,3077000,3002000,3043000,3016000
Gibraltar,https://dynamospanish.com/wp-content/uploads/flags/images/Gibraltar/2/large/Gibraltar.png,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,https://dynamospanish.com/wp-content/uploads/flags/images/Greece/2/large/Greece.png,Europe,3538000,3605000,3546000,3580000,3515000,3510000,3515000,3535000,3625000,3602000,3614000,3639000,3651000,3719000,3593000,3485000,3511000,3519000,3505000,3442000,3427000,3404000,3400000
Greenland,https://dynamospanish.com/wp-content/uploads/flags/images/Greenland/2/large/Greenland.png,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
