country,category,url,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,"","","","","","","","","","","",5531,5511,5516,5511,5488,5487,5482,5496,5502,5506,5513,5498,5503,5488,5486,5505,5535,5531,5535,5546,5537,5471,5499,5517,5534,5544,5532,5536,5529,5538,5583,5585,5600,5607,5588,5602,5624,5642,5648,5656,5694,5706,5753,5777,""
Fiji,Asia & the Pacific,https://cdn.countryflags.com/thumbs/fiji/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4561,"","","","","","","","","","","","","",9464,8179,7857,7299,"","","","","","","",""
Finland,Europe,https://cdn.countryflags.com/thumbs/finland/flag-button-round-250.png,25550,26199,27467,28829,31149,33583,35651,36360,38875,42664,45033,45813,48708,52422,50984,48634,51868,52523,54248,57725,59855,57389,55887,56101,57109,61288,63762,69322,65016,66914,66192,66788,62580,65328,69460,65847,70596,73000,73493,73082,72829,74555,78253,82305,82978,76316,82710,81118,77562,72900,79418,76032,72987,71131,72261,68904
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,19681,20209,21547,22963,24143,24436,24602,26073,27391,29457,34274,35140,36760,39201,37632,35362,37548,36699,39002,40499,40300,39189,38053,38839,40011,41736,42135,42922,42476,43962,44524,47021,45985,46542,44613,46303,48752,47092,48283,47956,48095,49381,49142,49671,50029,49859,48716,47863,47806,45513,46715,44741,44620,44584,42552,42909
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,"","","","","","","","","","","",20689,19856,26851,28741,23245,21824,23270,25803,22302,21917,23986,24072,24125,21857,19053,18526,17100,17589,15935,14429,14503,15095,15556,13435,14361,14580,14393,14933,14178,13892,14545,17122,19618,22165,24896,27195,29388,31304,33159,36034,28044,24006,33884,31468,""
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",783,"","","","","","","","","","","","","",898,869,889,1004,"","","","","","","",""
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",30066,24179,20663,18007,11207,9152,9438,8437,7877,7268,7552,6815,6790,7315,7617,7884,8524,9519,8670,9050,9249,10637,11266,12003,13698,""
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,22708,23193,24711,26531,27227,27660,27768,27777,29790,32238,44901,45301,46721,49311,48360,46345,50178,50428,52147,54490,53059,51166,49518,49637,51722,53476,53371,53688,53837,52506,51420,50042,48741,47946,47552,47911,49387,48885,48581,47449,47613,48959,47780,47502,47850,47526,48900,46354,46948,44083,46486,45005,45088,45816,43955,44398
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,"","","","","","","","","","","",3947,4058,4185,4278,4329,4249,4437,4356,4309,4331,4403,4381,3589,3706,3980,4016,4231,4029,4228,4206,4233,4264,4347,4403,4490,4530,4620,4768,4834,3854,3782,3664,3379,3290,3177,3297,3212,3130,3304,3514,3660,3867,3951,3896,""
Gibraltar,Europe,http://img.freeflagicons.com/thumb/round_icon/gibraltar/gibraltar_640.png,"","","","","","","","","","","",11894,9783,11274,11204,12287,10669,10240,9796,13220,12474,10274,12129,12764,12399,13979,16864,19383,22731,22034,22944,30130,36327,36403,41589,40457,40899,42152,44140,45744,47687,48518,48983,49786,53258,54720,56529,56112,56750,60686,60617,58464,59449,63198,66977,""
Greece,Europe,https://cdn.countryflags.com/thumbs/greece/flag-button-round-250.png,3361,3750,4071,4277,5042,5567,6363,7067,7583,8437,10150,11444,13197,15383,14611,15098,16120,17090,17740,18583,18070,17506,17878,18597,19221,20547,19466,20839,22130,24342,24454,24360,24770,24315,24867,24971,25656,26541,27793,27796,29152,29983,30211,31010,31534,32017,31896,31805,31930,30815,28866,28002,27949,24748,24700,25377
Greenland,North America,https://image.flaticon.com/icons/svg/197/197453.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Grenada,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/grenada/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5130,"","","","","","","","","","","","","",8383,8924,9122,9094,"","","","","","","",""
Guatemala,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guatemala/flag-button-round-250.png,"","","","","","","","","","","",5501,5519,5611,5615,6023,6280,6496,6491,6719,6055,5745,5506,5190,5350,5320,4988,5148,5232,5307,5537,5562,5730,5579,5744,5944,5973,6112,6500,6981,7028,7010,6902,7008,7050,6926,6876,7225,6773,7606,8103,8479,8432,8981,9653,""
Guinea,Africa,https://cdn.countryflags.com/thumbs/guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guinea-Bissau,Africa,https://cdn.countryflags.com/thumbs/guinea-bissau/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",857,"","","","","","","","","","","","","",740,732,740,764,"","","","","","","",""
Guyana,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guyana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5978,"","","","","","","","","","","","","",7411,7666,7757,7775,"","","","","","","",""
Haiti,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/haiti/flag-button-round-250.png,"","","","","","","","","","","",3650,3696,3726,3814,3878,4034,4075,4163,4238,4258,3465,3510,3528,3480,3428,2608,2632,2666,2661,2556,2502,2547,2415,2176,2518,2837,2936,2886,2873,2734,2748,3039,2873,2917,4276,4334,4471,4460,4457,4415,4505,4602,4568,4568,""
Honduras,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/honduras/flag-button-round-250.png,"","","","","","","","","","","",5773,5732,5778,5695,5679,5730,5880,5847,5861,5914,5702,5986,5694,5650,5436,5415,5543,5640,5706,5584,5473,5548,5511,5563,5752,5619,5974,6245,5348,5331,5604,5687,6032,6347,6482,6158,7075,6871,6450,6477,7046,7006,6984,7069,""
Hong Kong,Asia & the Pacific,https://image.flaticon.com/icons/svg/197/197570.svg,"","","","","","","","","","","",8629,8845,8694,9274,9459,10398,11604,12546,10685,10632,11572,12591,13419,13453,14025,15959,17097,19191,19319,17568,18074,21295,20752,20485,20002,18857,17987,23289,28282,23714,24535,22668,23367,21776,21451,22479,23941,23333,24508,22639,24274,23198,22606,22916,""
